feature,shap,coef,group,shap_rank,coef_rank,in_panel_a_top15
comp_minimum_Number,0.0372539978891951,0.1139879306346529,composition,53.0,25.0,False
comp_maximum_Number,0.0444081812970237,0.0516693536741871,composition,49.0,91.0,False
comp_range_Number,0.0614733962377819,0.0873474149383792,composition,45.0,48.0,False
comp_mean_Number,0.0934722583454306,0.0585791719565862,composition,36.0,84.0,False
comp_avg_dev_Number,0.1394056489770258,0.0658142088662677,composition,25.0,68.0,False
comp_mode_Number,0.0035520641658622,0.041167696395928,composition,97.0,115.0,False
comp_minimum_MendeleevNumber,0.0137640900243284,0.0687575363066209,composition,73.0,64.0,False
comp_maximum_MendeleevNumber,0.0113312076478836,0.0443822227644906,composition,77.0,105.0,False
comp_range_MendeleevNumber,0.2008418549896384,0.0716104889891613,composition,12.0,58.0,True
comp_mean_MendeleevNumber,0.4375017406812907,0.0957313172946052,composition,3.0,44.0,True
comp_avg_dev_MendeleevNumber,0.2003975161449625,0.1324625047115459,composition,13.0,15.0,True
comp_mode_MendeleevNumber,0.0276558470407624,0.0431347151827623,composition,59.0,111.0,False
comp_minimum_AtomicWeight,0.0098733556290911,0.0675596859604,composition,81.0,66.0,False
comp_maximum_AtomicWeight,0.0155500392636185,0.0459862048025416,composition,69.0,102.0,False
comp_range_AtomicWeight,0.093458209358378,0.0546729674282434,composition,37.0,88.0,False
comp_mean_AtomicWeight,0.1672453280671341,0.0622902044820559,composition,16.0,73.0,False
comp_avg_dev_AtomicWeight,0.165481745535806,0.1041060855932384,composition,17.0,37.0,False
comp_mode_AtomicWeight,0.0006134959480832,0.0483332212214728,composition,108.0,98.0,False
comp_minimum_MeltingT,0.0202902876538322,0.0469766342474146,composition,64.0,100.0,False
comp_maximum_MeltingT,0.1895391076593583,0.1096011983212103,composition,14.0,28.0,True
comp_range_MeltingT,0.4652365582658418,0.1100707056674983,composition,2.0,27.0,True
comp_mean_MeltingT,0.2711196568494039,0.0610505470777501,composition,7.0,74.0,True
comp_avg_dev_MeltingT,0.1331907841669423,0.0457844360429592,composition,27.0,103.0,False
comp_mode_MeltingT,0.0010928462991185,0.0989506037484669,composition,105.0,40.0,False
comp_minimum_Column,0.0095325574570147,0.0244029806343884,composition,82.0,126.0,False
comp_maximum_Column,0.001170484083395,0.0606531105527753,composition,104.0,76.0,False
comp_range_Column,0.024504333619264,0.0432816843119432,composition,61.0,110.0,False
comp_mean_Column,0.1168242069936833,0.0445538488140328,composition,31.0,104.0,False
comp_avg_dev_Column,0.0574357236906294,0.0318383958535146,composition,46.0,123.0,False
comp_mode_Column,0.0003198833067194,0.057724168172527,composition,114.0,86.0,False
comp_minimum_Row,0.0005157320966849,0.0321564632128813,composition,110.0,122.0,False
comp_maximum_Row,0.0017078063567978,0.0579718233076128,composition,103.0,85.0,False
comp_range_Row,0.0135507166649662,0.0441029038489153,composition,75.0,108.0,False
comp_mean_Row,0.029159123426861,0.0510822477534648,composition,58.0,93.0,False
comp_avg_dev_Row,0.040653572841725,0.0486372513502483,composition,51.0,96.0,False
comp_mode_Row,0.0002171440723384,0.0749619083678635,composition,117.0,55.0,False
comp_minimum_CovalentRadius,0.0224385850743943,0.073911343633475,composition,62.0,56.0,False
comp_maximum_CovalentRadius,0.0936536110018306,0.1924460817287115,composition,35.0,4.0,False
comp_range_CovalentRadius,0.0683145465123523,0.0436144007168702,composition,42.0,109.0,False
comp_mean_CovalentRadius,0.14612970737128,0.0483565102290317,composition,23.0,97.0,False
comp_avg_dev_CovalentRadius,0.2709587564569224,0.0649558113325895,composition,8.0,69.0,True
comp_mode_CovalentRadius,0.000291174905348,0.082555026949565,composition,115.0,50.0,False
comp_minimum_Electronegativity,0.2766214690366644,0.0472207718395167,composition,6.0,99.0,True
comp_maximum_Electronegativity,0.0023697762937961,0.0312379978164589,composition,98.0,124.0,False
comp_range_Electronegativity,0.035411354207971,0.0340916386327954,composition,54.0,121.0,False
comp_mean_Electronegativity,0.1561275053739117,0.1037140845944883,composition,19.0,38.0,False
comp_avg_dev_Electronegativity,0.2158547985863935,0.0560909119070221,composition,11.0,87.0,True
comp_mode_Electronegativity,0.0054084789369199,0.0762565142965545,composition,89.0,54.0,False
comp_minimum_NsValence,0.0058363752007663,0.0714105637355651,composition,86.0,59.0,False
comp_maximum_NsValence,0.0,0.0,composition,135.5,136.0,False
