panel,db,setting,seed_f1,delta_f1,n_indist,n_lodo,seed_r2
a,c2db,in-distribution,0.9142668241873774,,,,
a,c2db,in-distribution,0.9143999635097536,,,,
a,c2db,in-distribution,0.9221721854304636,,,,
a,c2db,in-distribution,0.9120059376128116,,,,
a,c2db,in-distribution,0.921208590276782,,,,
a,c2db,in-distribution,0.9145922689434935,,,,
a,c2db,in-distribution,0.9205865851776728,,,,
a,c2db,in-distribution,0.9227096346090042,,,,
a,c2db,in-distribution,0.9143229166666668,,,,
a,c2db,in-distribution,0.9160509820047176,,,,
a,c2db,in-distribution,0.9356946818531848,,,,
a,c2db,in-distribution,0.913288959928748,,,,
a,c2db,in-distribution,0.9199484720841048,,,,
a,c2db,in-distribution,0.9040231858577256,,,,
a,c2db,in-distribution,0.9228994364624888,,,,
a,c2db,in-distribution,0.928054955923689,,,,
a,c2db,in-distribution,0.9113283667725336,,,,
a,c2db,in-distribution,0.901751531045906,,,,
a,c2db,in-distribution,0.9176633540682292,,,,
a,c2db,in-distribution,0.9082199918706813,,,,
a,c2db,in-distribution,0.9216354989673924,,,,
a,c2db,in-distribution,0.9056264804337596,,,,
a,c2db,in-distribution,0.8993923286560508,,,,
a,c2db,in-distribution,0.9098534864588688,,,,
a,c2db,in-distribution,0.9348860722926372,,,,
a,c2db,LODO,0.8237486790857764,,,,
a,c2db,LODO,0.8279218635406423,,,,
a,c2db,LODO,0.81832691699815,,,,
a,c2db,LODO,0.8202299027974482,,,,
a,c2db,LODO,0.8253361016865409,,,,
a_delta,c2db,,,0.09315061482207831,25.0,5.0,
a,jarvis2d,in-distribution,0.9045691150954308,,,,
a,jarvis2d,in-distribution,0.8354217257568399,,,,
a,jarvis2d,in-distribution,0.913283405597162,,,,
a,jarvis2d,in-distribution,0.8564002599090318,,,,
a,jarvis2d,in-distribution,0.8931629834254143,,,,
a,jarvis2d,in-distribution,0.8777777777777778,,,,
a,jarvis2d,in-distribution,0.8473756906077348,,,,
a,jarvis2d,in-distribution,0.9183287772940502,,,,
a,jarvis2d,in-distribution,0.8754578754578755,,,,
a,jarvis2d,in-distribution,0.8744318181818183,,,,
a,jarvis2d,in-distribution,0.8906379453189726,,,,
a,jarvis2d,in-distribution,0.9115981735159816,,,,
a,jarvis2d,in-distribution,0.8490062111801242,,,,
a,jarvis2d,in-distribution,0.8376909518213866,,,,
a,jarvis2d,in-distribution,0.861624649859944,,,,
a,jarvis2d,in-distribution,0.906873758588128,,,,
a,jarvis2d,in-distribution,0.8590797731315234,,,,
a,jarvis2d,in-distribution,0.9117174959871588,,,,
a,jarvis2d,in-distribution,0.8313896457765668,,,,
a,jarvis2d,in-distribution,0.8672672672672672,,,,
a,jarvis2d,in-distribution,0.7900683232184434,,,,
a,jarvis2d,in-distribution,0.9278155212960544,,,,
a,jarvis2d,in-distribution,0.9034794640747864,,,,
a,jarvis2d,in-distribution,0.8443223443223443,,,,
a,jarvis2d,in-distribution,0.8700679383328978,,,,
a,jarvis2d,LODO,0.6540032679738562,,,,
a,jarvis2d,LODO,0.6854575163398693,,,,
a,jarvis2d,LODO,0.655223880597015,,,,
a,jarvis2d,LODO,0.6917357735201601,,,,
a,jarvis2d,LODO,0.6623772757601754,,,,
a_delta,jarvis2d,,,0.20459441287357338,25.0,5.0,
a,twodmatpedia,in-distribution,0.841959891046369,,,,
a,twodmatpedia,in-distribution,0.8356793743890518,,,,
a,twodmatpedia,in-distribution,0.844987206027954,,,,
a,twodmatpedia,in-distribution,0.8266741187480504,,,,
a,twodmatpedia,in-distribution,0.8373758337657142,,,,
a,twodmatpedia,in-distribution,0.8402429451286466,,,,
a,twodmatpedia,in-distribution,0.852873485098903,,,,
a,twodmatpedia,in-distribution,0.8635735282932616,,,,
a,twodmatpedia,in-distribution,0.8429913684589103,,,,
a,twodmatpedia,in-distribution,0.8352183033107714,,,,
a,twodmatpedia,in-distribution,0.840925515464958,,,,
a,twodmatpedia,in-distribution,0.8184339329165858,,,,
a,twodmatpedia,in-distribution,0.8430790455306143,,,,
a,twodmatpedia,in-distribution,0.8190218496746746,,,,
a,twodmatpedia,in-distribution,0.8099909606650288,,,,
a,twodmatpedia,in-distribution,0.8459427329289271,,,,
a,twodmatpedia,in-distribution,0.8429475640020059,,,,
a,twodmatpedia,in-distribution,0.8333739497048678,,,,
a,twodmatpedia,in-distribution,0.836828637924162,,,,
a,twodmatpedia,in-distribution,0.836279908543458,,,,
a,twodmatpedia,in-distribution,0.8436950146627566,,,,
a,twodmatpedia,in-distribution,0.8174917702707022,,,,
a,twodmatpedia,in-distribution,0.8361487776928953,,,,
a,twodmatpedia,in-distribution,0.8376904977375565,,,,
a,twodmatpedia,in-distribution,0.8345236207145512,,,,
a,twodmatpedia,LODO,0.7293819860425377,,,,
a,twodmatpedia,LODO,0.7293631832236513,,,,
a,twodmatpedia,LODO,0.7293094789704959,,,,
a,twodmatpedia,LODO,0.7256633717784127,,,,
a,twodmatpedia,LODO,0.7275237710693616,,,,
a_delta,twodmatpedia,,,0.10846963509116325,25.0,5.0,
b,c2db,,,,,,0.6105974155139264
b,c2db,,,,,,0.6334850160375047
b,c2db,,,,,,0.6596417034637524
b,c2db,,,,,,0.6412022097771509
b,c2db,,,,,,0.6233571548430822
b,jarvis2d,,,,,,0.2597461753500337
b,jarvis2d,,,,,,0.099775168908722
b,jarvis2d,,,,,,0.2010847301714921
b,jarvis2d,,,,,,0.16641657151204
b,jarvis2d,,,,,,0.2121218246629899
b,twodmatpedia,,,,,,0.1094296129102602
b,twodmatpedia,,,,,,0.1217128256746303
b,twodmatpedia,,,,,,0.1189675686455001
b,twodmatpedia,,,,,,0.1057661712700668
b,twodmatpedia,,,,,,0.1213987795858282
