task,model,seed,repeat,fold,f1_macro,mcc,bal_acc
T1,rule_inversion,0,0,0,0.6458333333333333,0.29617443887954614,0.6470588235294118
T1,logreg_inversion_only,0,0,0,0.6458333333333333,0.29617443887954614,0.6470588235294118
T1,logreg_symmetry_block,0,0,0,0.30857648099027407,-0.36927447293799825,0.3235294117647059
T1,rule_inversion,0,0,1,0.718475073313783,0.44971201491459334,0.723529411764706
T1,logreg_inversion_only,0,0,1,0.718475073313783,0.44971201491459334,0.723529411764706
T1,logreg_symmetry_block,0,0,1,0.5901477832512315,0.21019754169815524,0.6019607843137255
T1,rule_inversion,0,0,2,0.652093023255814,0.4160251471689218,0.6764705882352942
T1,logreg_inversion_only,0,0,2,0.652093023255814,0.4160251471689218,0.6764705882352942
T1,logreg_symmetry_block,0,0,2,0.7332170880557978,0.4780914437337574,0.7352941176470589
T1,rule_inversion,0,0,3,0.38888888888888884,-0.2105798931586654,0.3970588235294118
T1,logreg_inversion_only,0,0,3,0.38888888888888884,-0.2105798931586654,0.3970588235294118
T1,logreg_symmetry_block,0,0,3,0.5147058823529411,0.029411764705882353,0.5147058823529411
T1,rule_inversion,0,0,4,0.44932079414838033,-0.07727101252333977,0.46218487394957986
T1,logreg_inversion_only,0,0,4,0.44932079414838033,-0.07727101252333977,0.46218487394957986
T1,logreg_symmetry_block,0,0,4,0.6025641025641025,0.21034886742464715,0.6029411764705883
T1,rule_inversion,0,1,0,0.7878787878787878,0.5772058823529411,0.7886029411764706
T1,logreg_inversion_only,0,1,0,0.7878787878787878,0.5772058823529411,0.7886029411764706
T1,logreg_symmetry_block,0,1,0,0.45268292682926825,-0.017149858514250885,0.49264705882352944
T1,rule_inversion,0,1,1,0.723205964585275,0.48126671093981094,0.7316176470588236
T1,logreg_inversion_only,0,1,1,0.723205964585275,0.48126671093981094,0.7316176470588236
T1,logreg_symmetry_block,0,1,1,0.723205964585275,0.48126671093981094,0.7316176470588236
T1,rule_inversion,0,1,2,0.5037593984962406,0.04287464628562721,0.5202205882352942
T1,logreg_inversion_only,0,1,2,0.5037593984962406,0.04287464628562721,0.5202205882352942
T1,logreg_symmetry_block,0,1,2,0.5722222222222222,0.14870813293635052,0.5735294117647058
T1,rule_inversion,0,1,3,0.5147058823529411,0.029411764705882353,0.5147058823529411
T1,logreg_inversion_only,0,1,3,0.5147058823529411,0.029411764705882353,0.5147058823529411
T1,logreg_symmetry_block,0,1,3,0.4994944388270981,0.08988968316207743,0.5367647058823529
T1,rule_inversion,0,1,4,0.32732732732732733,-0.3124282448813543,0.35490196078431374
T1,logreg_inversion_only,0,1,4,0.32732732732732733,-0.3124282448813543,0.35490196078431374
T1,logreg_symmetry_block,0,1,4,0.5076923076923077,0.04222003309207491,0.5196078431372549
T1,rule_inversion,0,2,0,0.7712418300653594,0.547543926607891,0.772875816993464
T1,logreg_inversion_only,0,2,0,0.7712418300653594,0.547543926607891,0.772875816993464
T1,logreg_symmetry_block,0,2,0,0.3881118881118881,-0.15169700910303438,0.4362745098039216
T1,rule_inversion,0,2,1,0.723205964585275,0.48126671093981094,0.7316176470588236
T1,logreg_inversion_only,0,2,1,0.723205964585275,0.48126671093981094,0.7316176470588236
T1,logreg_symmetry_block,0,2,1,0.3717805151175812,-0.0077005137954212185,0.49816176470588236
T1,rule_inversion,0,2,2,0.5,0.00392156862745098,0.5019607843137255
T1,logreg_inversion_only,0,2,2,0.5,0.00392156862745098,0.5019607843137255
T1,logreg_symmetry_block,0,2,2,0.464039408866995,-0.07100716024967263,0.4647058823529412
T1,rule_inversion,0,2,3,0.4221198156682028,-0.14870813293635052,0.42647058823529416
T1,logreg_inversion_only,0,2,3,0.4221198156682028,-0.14870813293635052,0.42647058823529416
T1,logreg_symmetry_block,0,2,3,0.5299145299145299,0.08574929257125442,0.5404411764705883
T1,rule_inversion,0,2,4,0.4302702702702703,-0.09174698042719671,0.4583333333333333
T1,logreg_inversion_only,0,2,4,0.4302702702702703,-0.09174698042719671,0.4583333333333333
T1,logreg_symmetry_block,0,2,4,0.7047619047619047,0.4232160702351261,0.70625
T1,rule_inversion,1,0,0,0.8484848484848485,0.6985294117647058,0.8492647058823529
T1,logreg_inversion_only,1,0,0,0.8484848484848485,0.6985294117647058,0.8492647058823529
T1,logreg_symmetry_block,1,0,0,0.4288461538461539,-0.08663791001045901,0.46139705882352944
T1,rule_inversion,1,0,1,0.5584415584415584,0.11785113019775792,0.5590277777777778
T1,logreg_inversion_only,1,0,1,0.5584415584415584,0.11785113019775792,0.5590277777777778
T1,logreg_symmetry_block,1,0,1,0.575,0.1668244202908771,0.5798611111111112
T1,rule_inversion,1,0,2,0.5111111111111111,0.026023923263861343,0.5128676470588236
T1,logreg_inversion_only,1,0,2,0.5111111111111111,0.026023923263861343,0.5128676470588236
T1,logreg_symmetry_block,1,0,2,0.5111111111111111,0.026023923263861343,0.5128676470588236
T1,rule_inversion,1,0,3,0.4682306940371457,-0.06262242910851495,0.46862745098039216
T1,logreg_inversion_only,1,0,3,0.4682306940371457,-0.06262242910851495,0.46862745098039216
T1,logreg_symmetry_block,1,0,3,0.4458874458874459,-0.04260429614980358,0.48235294117647054
T1,rule_inversion,1,0,4,0.4181818181818182,0.08727977857199909,0.5254901960784314
T1,logreg_inversion_only,1,0,4,0.4181818181818182,0.08727977857199909,0.5254901960784314
T1,logreg_symmetry_block,1,0,4,0.8435972629521017,0.7021819180245404,0.8490196078431372
T1,rule_inversion,1,1,0,0.6146469049694856,0.23036964956043254,0.6145833333333333
T1,logreg_inversion_only,1,1,0,0.6146469049694856,0.23036964956043254,0.6145833333333333
T1,logreg_symmetry_block,1,1,0,0.343859649122807,-0.29012942659282975,0.3611111111111111
T1,rule_inversion,1,1,1,0.7490196078431373,0.5219786367558533,0.7568627450980392
T1,logreg_inversion_only,1,1,1,0.7490196078431373,0.5219786367558533,0.7568627450980392
T1,logreg_symmetry_block,1,1,1,0.4666666666666667,0.04260429614980358,0.5176470588235295
T1,rule_inversion,1,1,2,0.6688034188034189,0.3919831548048891,0.6833333333333333
T1,logreg_inversion_only,1,1,2,0.6688034188034189,0.3919831548048891,0.6833333333333333
T1,logreg_symmetry_block,1,1,2,0.7732497387669801,0.5612263992588653,0.7770833333333333
T1,rule_inversion,1,1,3,0.4535714285714286,-0.06286946134619316,0.47058823529411764
T1,logreg_inversion_only,1,1,3,0.4535714285714286,-0.06286946134619316,0.47058823529411764
T1,logreg_symmetry_block,1,1,3,0.5294117647058824,0.058823529411764705,0.5294117647058824
T1,rule_inversion,1,1,4,0.38888888888888884,-0.2105798931586654,0.3970588235294118
T1,logreg_inversion_only,1,1,4,0.38888888888888884,-0.2105798931586654,0.3970588235294118
T1,logreg_symmetry_block,1,1,4,0.5170731707317073,0.08663791001045901,0.5386029411764706
T1,rule_inversion,1,2,0,0.7573529411764706,0.5147058823529411,0.7573529411764706
T1,logreg_inversion_only,1,2,0,0.7573529411764706,0.5147058823529411,0.7573529411764706
T1,logreg_symmetry_block,1,2,0,0.32390243902439025,-0.3001225239993905,0.3713235294117647
T1,rule_inversion,1,2,1,0.6285714285714286,0.2581699346405229,0.6290849673202614
T1,logreg_inversion_only,1,2,1,0.6285714285714286,0.2581699346405229,0.6290849673202614
T1,logreg_symmetry_block,1,2,1,0.5333333333333333,0.15169700910303438,0.5637254901960784
T1,rule_inversion,1,2,2,0.6666666666666667,0.49705012174770846,0.7058823529411764
T1,logreg_inversion_only,1,2,2,0.6666666666666667,0.49705012174770846,0.7058823529411764
T1,logreg_symmetry_block,1,2,2,0.8398398398398399,0.6952687917708212,0.8372549019607842
T1,rule_inversion,1,2,3,0.37254901960784315,-0.24305875451990117,0.3803921568627451
T1,logreg_inversion_only,1,2,3,0.37254901960784315,-0.24305875451990117,0.3803921568627451
T1,logreg_symmetry_block,1,2,3,0.5835835835835836,0.17785945835997752,0.5862745098039216
T1,rule_inversion,1,2,4,0.4285714285714286,-0.12909944487358055,0.4375
T1,logreg_inversion_only,1,2,4,0.4285714285714286,-0.12909944487358055,0.4375
T1,logreg_symmetry_block,1,2,4,0.530791788856305,0.06262242910851495,0.53125
T1,rule_inversion,2,0,0,0.7350649350649351,0.48168199453544985,0.7395833333333333
T1,logreg_inversion_only,2,0,0,0.7350649350649351,0.48168199453544985,0.7395833333333333
T1,logreg_symmetry_block,2,0,0,0.3625,-0.014731391274719742,0.4965277777777778
T1,rule_inversion,2,0,1,0.6360294117647058,0.27205882352941174,0.6360294117647058
T1,logreg_inversion_only,2,0,1,0.6360294117647058,0.27205882352941174,0.6360294117647058
T1,logreg_symmetry_block,2,0,1,0.3660262891809909,-0.17149858514250885,0.4338235294117647
T1,rule_inversion,2,0,2,0.5835835835835836,0.17785945835997752,0.5862745098039216
T1,logreg_inversion_only,2,0,2,0.5835835835835836,0.17785945835997752,0.5862745098039216
T1,logreg_symmetry_block,2,0,2,0.45893719806763283,0.12756275329753713,0.5372549019607843
T1,rule_inversion,2,0,3,0.4833333333333333,0.18012769818748306,0.5604166666666667
T1,logreg_inversion_only,2,0,3,0.4833333333333333,0.18012769818748306,0.5604166666666667
T1,logreg_symmetry_block,2,0,3,0.7416666666666667,0.48333333333333334,0.7416666666666667
T1,rule_inversion,2,0,4,0.35501355013550134,-0.2581988897471611,0.3823529411764706
T1,logreg_inversion_only,2,0,4,0.35501355013550134,-0.2581988897471611,0.3823529411764706
T1,logreg_symmetry_block,2,0,4,0.5392953929539295,0.12909944487358055,0.5588235294117647
T1,rule_inversion,2,1,0,0.7870967741935484,0.5873971250985845,0.7904411764705883
T1,logreg_inversion_only,2,1,0,0.7870967741935484,0.5873971250985845,0.7904411764705883
T1,logreg_symmetry_block,2,1,0,0.37969924812030076,-0.21437323142813605,0.39889705882352944
T1,rule_inversion,2,1,1,0.6898496240601504,0.4287464628562721,0.7022058823529411
T1,logreg_inversion_only,2,1,1,0.6898496240601504,0.4287464628562721,0.7022058823529411
T1,logreg_symmetry_block,2,1,1,0.7573529411764706,0.5147058823529411,0.7573529411764706
T1,rule_inversion,2,1,2,0.6458536585365854,0.4073091397134585,0.6746323529411764
T1,logreg_inversion_only,2,1,2,0.6458536585365854,0.4073091397134585,0.6746323529411764
T1,logreg_symmetry_block,2,1,2,0.6552706552706553,0.3758196498417308,0.6727941176470589
T1,rule_inversion,2,1,3,0.2720588235294118,-0.45588235294117646,0.2720588235294118
T1,logreg_inversion_only,2,1,3,0.2720588235294118,-0.45588235294117646,0.2720588235294118
T1,logreg_symmetry_block,2,1,3,0.45454545454545453,0.014291548761875736,0.5055147058823529
T1,rule_inversion,2,1,4,0.4682306940371457,-0.06262242910851495,0.46862745098039216
T1,logreg_inversion_only,2,1,4,0.4682306940371457,-0.06262242910851495,0.46862745098039216
T1,logreg_symmetry_block,2,1,4,0.6,0.24809590313546126,0.611764705882353
T1,rule_inversion,2,2,0,0.8180147058823529,0.6360294117647058,0.8180147058823529
T1,logreg_inversion_only,2,2,0,0.8180147058823529,0.6360294117647058,0.8180147058823529
T1,logreg_symmetry_block,2,2,0,0.4260869565217391,0.09587062360592132,0.5275735294117647
T1,rule_inversion,2,2,1,0.6559139784946236,0.3234770633596198,0.6607843137254902
T1,logreg_inversion_only,2,2,1,0.6559139784946236,0.3234770633596198,0.6607843137254902
T1,logreg_symmetry_block,2,2,1,0.4181818181818182,0.08727977857199909,0.5254901960784314
T1,rule_inversion,2,2,2,0.43529411764705883,-0.11555252264060875,0.44313725490196076
T1,logreg_inversion_only,2,2,2,0.43529411764705883,-0.11555252264060875,0.44313725490196076
T1,logreg_symmetry_block,2,2,2,0.5134502923976608,0.2130214807490179,0.5705882352941176
T1,rule_inversion,2,2,3,0.5662285136501517,0.3001225239993905,0.6158088235294118
T1,logreg_inversion_only,2,2,3,0.5662285136501517,0.3001225239993905,0.6158088235294118
T1,logreg_symmetry_block,2,2,3,0.6654377880184332,0.33210558207753577,0.6654411764705883
T1,rule_inversion,2,2,4,0.38181818181818183,-0.23570226039551584,0.38235294117647056
T1,logreg_inversion_only,2,2,4,0.38181818181818183,-0.23570226039551584,0.38235294117647056
T1,logreg_symmetry_block,2,2,4,0.40350877192982454,-0.18156825980064073,0.4117647058823529
T1,rule_inversion,3,0,0,0.6001863932898416,0.20149814827784024,0.6
T1,logreg_inversion_only,3,0,0,0.6001863932898416,0.20149814827784024,0.6
T1,logreg_symmetry_block,3,0,0,0.2992922143579373,-0.2931763649279746,0.39444444444444443
T1,rule_inversion,3,0,1,0.742014742014742,0.49507377148833714,0.7450980392156863
T1,logreg_inversion_only,3,0,1,0.742014742014742,0.49507377148833714,0.7450980392156863
T1,logreg_symmetry_block,3,0,1,0.46969696969696967,0.16941130349926678,0.553921568627451
T1,rule_inversion,3,0,2,0.3772893772893773,-0.2,0.411764705882353
T1,logreg_inversion_only,3,0,2,0.3772893772893773,-0.2,0.411764705882353
T1,logreg_symmetry_block,3,0,2,0.5228070175438597,0.06052275326688024,0.5294117647058824
T1,rule_inversion,3,0,3,0.41875,-0.15899720766358738,0.42083333333333334
T1,logreg_inversion_only,3,0,3,0.41875,-0.15899720766358738,0.42083333333333334
T1,logreg_symmetry_block,3,0,3,0.5068181818181818,0.0946222649056395,0.5395833333333333
T1,rule_inversion,3,0,4,0.6983783783783784,0.4770842982214229,0.7166666666666667
T1,logreg_inversion_only,3,0,4,0.6983783783783784,0.4770842982214229,0.7166666666666667
T1,logreg_symmetry_block,3,0,4,0.7732497387669801,0.5481219527349985,0.7729166666666667
T1,rule_inversion,3,1,0,0.6001863932898416,0.20149814827784024,0.6
T1,logreg_inversion_only,3,1,0,0.6001863932898416,0.20149814827784024,0.6
T1,logreg_symmetry_block,3,1,0,0.25,-0.4068381021724862,0.36666666666666664
T1,rule_inversion,3,1,1,0.7870967741935484,0.5873971250985845,0.7904411764705883
T1,logreg_inversion_only,3,1,1,0.7870967741935484,0.5873971250985845,0.7904411764705883
T1,logreg_symmetry_block,3,1,1,0.45268292682926825,-0.017149858514250885,0.49264705882352944
T1,rule_inversion,3,1,2,0.5147058823529411,0.029411764705882353,0.5147058823529411
T1,logreg_inversion_only,3,1,2,0.5147058823529411,0.029411764705882353,0.5147058823529411
T1,logreg_symmetry_block,3,1,2,0.5557692307692308,0.1519270924892103,0.5698529411764706
T1,rule_inversion,3,1,3,0.3717805151175812,-0.0077005137954212185,0.49816176470588236
T1,logreg_inversion_only,3,1,3,0.3717805151175812,-0.0077005137954212185,0.49816176470588236
T1,logreg_symmetry_block,3,1,3,0.8166666666666667,0.6394449716263073,0.8161764705882353
T1,rule_inversion,3,1,4,0.4980392156862745,0.0,0.5
T1,logreg_inversion_only,3,1,4,0.4980392156862745,0.0,0.5
T1,logreg_symmetry_block,3,1,4,0.530791788856305,0.06262242910851495,0.53125
T1,rule_inversion,3,2,0,0.6944444444444444,0.39407655228132893,0.6948529411764706
T1,logreg_inversion_only,3,2,0,0.6944444444444444,0.39407655228132893,0.6948529411764706
T1,logreg_symmetry_block,3,2,0,0.4672364672364672,-0.01999040690647504,0.4908088235294118
T1,rule_inversion,3,2,1,0.7084639498432602,0.4304142310105583,0.7125
T1,logreg_inversion_only,3,2,1,0.7084639498432602,0.4304142310105583,0.7125
T1,logreg_symmetry_block,3,2,1,0.7703703703703704,0.5557382740461252,0.7708333333333333
T1,rule_inversion,3,2,2,0.49956709956709955,0.0,0.5
T1,logreg_inversion_only,3,2,2,0.49956709956709955,0.0,0.5
T1,logreg_symmetry_block,3,2,2,0.5521783181357649,0.27403610244019494,0.5972222222222222
T1,rule_inversion,3,2,3,0.37916219119226635,0.16412198797244362,0.5277777777777778
T1,logreg_inversion_only,3,2,3,0.37916219119226635,0.16412198797244362,0.5277777777777778
T1,logreg_symmetry_block,3,2,3,0.6621499548328816,0.4321208107251124,0.6909722222222222
T1,rule_inversion,3,2,4,0.5,0.0,0.5
T1,logreg_inversion_only,3,2,4,0.5,0.0,0.5
T1,logreg_symmetry_block,3,2,4,0.530791788856305,0.06262242910851495,0.53125
T1,rule_inversion,4,0,0,0.8117647058823529,0.629940788348712,0.8125
T1,logreg_inversion_only,4,0,0,0.8117647058823529,0.629940788348712,0.8125
T1,logreg_symmetry_block,4,0,0,0.37662337662337664,-0.16012815380508713,0.4375
T1,rule_inversion,4,0,1,0.5901477832512315,0.1814627428602745,0.5901960784313726
T1,logreg_inversion_only,4,0,1,0.5901477832512315,0.1814627428602745,0.5901960784313726
T1,logreg_symmetry_block,4,0,1,0.3125,-0.37254901960784315,0.3137254901960784
T1,rule_inversion,4,0,2,0.530791788856305,0.07100716024967263,0.5352941176470588
T1,logreg_inversion_only,4,0,2,0.530791788856305,0.07100716024967263,0.5352941176470588
T1,logreg_symmetry_block,4,0,2,0.6666666666666667,0.38737781366765006,0.6745098039215687
T1,rule_inversion,4,0,3,0.30192307692307696,-0.35892848432904445,0.3400735294117647
T1,logreg_inversion_only,4,0,3,0.30192307692307696,-0.35892848432904445,0.3400735294117647
T1,logreg_symmetry_block,4,0,3,0.5147058823529411,0.03321055820775358,0.5165441176470589
T1,rule_inversion,4,0,4,0.6173254835996635,0.2885035594625119,0.6339869281045751
T1,logreg_inversion_only,4,0,4,0.6173254835996635,0.2885035594625119,0.6339869281045751
T1,logreg_symmetry_block,4,0,4,0.6815550041356493,0.3734080224074693,0.6830065359477124
T1,rule_inversion,4,1,0,0.7878787878787878,0.5772058823529411,0.7886029411764706
T1,logreg_inversion_only,4,1,0,0.7878787878787878,0.5772058823529411,0.7886029411764706
T1,logreg_symmetry_block,4,1,0,0.3653846153846154,-0.22278319716975173,0.4007352941176471
T1,rule_inversion,4,1,1,0.6421052631578947,0.3263956049169334,0.65625
