model,metric,mean,std,ci_lo,ci_hi
dummy_majority,f1_macro,0.3414,0.0055,0.3401,0.3426
dummy_majority,mcc,0.0,0.0,0.0,0.0
dummy_majority,bal_acc,0.5,0.0,0.5,0.5
dummy_stratified,f1_macro,0.481,0.0887,0.4613,0.5011
dummy_stratified,mcc,-0.0126,0.181,-0.053,0.0287
dummy_stratified,bal_acc,0.494,0.087,0.4746,0.5138
logreg,f1_macro,0.6149,0.1085,0.5903,0.6391
logreg,mcc,0.265,0.211,0.2174,0.3109
logreg,bal_acc,0.6267,0.1021,0.6038,0.6496
lgbm,f1_macro,0.6078,0.1168,0.581,0.634
lgbm,mcc,0.2545,0.2225,0.2042,0.3043
lgbm,bal_acc,0.6211,0.1087,0.5966,0.6449
