model,seed,rep,fold,f1_macro,mcc,bal_acc,cfg,sec,vram_mb
cgcnn,0,0,0,0.2725581395348837,-0.4160251471689218,0.3235294117647059,"{""node_d"": 128, ""n_conv"": 4, ""fc_d"": 32, ""lr"": 0.003, ""weight_decay"": 0.0001, ""dropout"": 0.1, ""batch"": 16}",120.8,46.6
cgcnn,0,0,1,0.5933528836754643,0.1878672873255448,0.5941176470588235,"{""node_d"": 128, ""n_conv"": 2, ""fc_d"": 128, ""lr"": 0.001, ""weight_decay"": 1e-05, ""dropout"": 0.3, ""batch"": 16}",107.3,64.1
cgcnn,0,0,2,0.6761904761904762,0.3535533905932738,0.6764705882352942,"{""node_d"": 64, ""n_conv"": 2, ""fc_d"": 32, ""lr"": 0.01, ""weight_decay"": 1e-05, ""dropout"": 0.3, ""batch"": 32}",105.6,55.1
cgcnn,0,0,3,0.4923076923076923,0.019990406906475,0.5091911764705883,"{""node_d"": 64, ""n_conv"": 3, ""fc_d"": 128, ""lr"": 0.01, ""weight_decay"": 0.0, ""dropout"": 0.3, ""batch"": 16}",103.7,50.8
cgcnn,0,0,4,0.4561403508771929,-0.0715684904097313,0.4663865546218487,"{""node_d"": 128, ""n_conv"": 3, ""fc_d"": 32, ""lr"": 0.003, ""weight_decay"": 1e-05, ""dropout"": 0.0, ""batch"": 32}",110.6,62.4
cgcnn,0,1,0,0.6360294117647058,0.2720588235294117,0.6360294117647058,"{""node_d"": 128, ""n_conv"": 2, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 1e-05, ""dropout"": 0.3, ""batch"": 32}",76.9,63.9
cgcnn,0,1,1,0.5227272727272727,0.2408515181216689,0.5863970588235294,"{""node_d"": 32, ""n_conv"": 2, ""fc_d"": 32, ""lr"": 0.003, ""weight_decay"": 0.0001, ""dropout"": 0.1, ""batch"": 32}",68.4,43.1
cgcnn,0,1,2,0.7573529411764706,0.5147058823529411,0.7573529411764706,"{""node_d"": 64, ""n_conv"": 2, ""fc_d"": 32, ""lr"": 0.01, ""weight_decay"": 0.0, ""dropout"": 0.3, ""batch"": 32}",317.1,45.0
cgcnn,0,1,3,0.6333333333333333,0.2713923426088397,0.6341911764705883,"{""node_d"": 32, ""n_conv"": 3, ""fc_d"": 128, ""lr"": 0.01, ""weight_decay"": 0.0, ""dropout"": 0.1, ""batch"": 16}",335.1,65.6
cgcnn,0,1,4,0.5555555555555556,0.1155525226406087,0.5568627450980392,"{""node_d"": 32, ""n_conv"": 4, ""fc_d"": 64, ""lr"": 0.003, ""weight_decay"": 0.0, ""dropout"": 0.3, ""batch"": 16}",437.6,59.2
cgcnn,0,2,0,0.487510766580534,0.0180775381515546,0.5081699346405228,"{""node_d"": 128, ""n_conv"": 2, ""fc_d"": 64, ""lr"": 0.003, ""weight_decay"": 1e-05, ""dropout"": 0.1, ""batch"": 16}",278.7,40.3
cgcnn,0,2,1,0.3365079365079365,-0.1970400902360821,0.4356617647058823,"{""node_d"": 128, ""n_conv"": 4, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.0, ""batch"": 16}",357.4,48.5
cgcnn,0,2,2,0.4385964912280701,0.0236690534165575,0.5078431372549019,"{""node_d"": 32, ""n_conv"": 2, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 1e-05, ""dropout"": 0.1, ""batch"": 32}",386.0,64.7
cgcnn,0,2,3,0.6826923076923077,0.4158004636546808,0.6911764705882353,"{""node_d"": 128, ""n_conv"": 3, ""fc_d"": 32, ""lr"": 0.001, ""weight_decay"": 0.0001, ""dropout"": 0.3, ""batch"": 16}",298.5,41.0
cgcnn,0,2,4,0.5788923719958203,0.1589972076635873,0.5791666666666666,"{""node_d"": 64, ""n_conv"": 3, ""fc_d"": 64, ""lr"": 0.003, ""weight_decay"": 1e-05, ""dropout"": 0.1, ""batch"": 32}",303.4,42.5
cgcnn,1,0,0,0.5037593984962406,0.0229174624257052,0.5110294117647058,"{""node_d"": 32, ""n_conv"": 3, ""fc_d"": 64, ""lr"": 0.003, ""weight_decay"": 1e-05, ""dropout"": 0.1, ""batch"": 32}",418.8,40.9
cgcnn,1,0,1,0.4288240495137047,-0.1037293190440236,0.4513888888888889,"{""node_d"": 128, ""n_conv"": 4, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.1, ""batch"": 32}",347.1,65.1
cgcnn,1,0,2,0.5925925925925926,0.2438829642589955,0.6121323529411764,"{""node_d"": 32, ""n_conv"": 3, ""fc_d"": 32, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.3, ""batch"": 32}",413.4,43.5
cgcnn,1,0,3,0.718475073313783,0.4383570037596047,0.7196078431372549,"{""node_d"": 32, ""n_conv"": 2, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 0.0, ""dropout"": 0.1, ""batch"": 16}",371.6,62.0
