formula,qx,qy,sg,theta,phi,label4,label2,label_src,group_id,uid,uid_ambiguous,Qmin_raw,bandwidth,_merge
AgCrAs2Se6,0.07,0.07,P312,2.0,240.0,NC,non_collinear,Q-based,P312|Ag-Cr,1AgCrAs2Se6-1,False,"[0.07142857142857145, 0.07142857142857145, 0.0]",3.63967552939215,both
AgCrAs2Te6,0.5,-0.5,C2,2.0,240.0,AFM_collinear,collinear,Table2,C2|Ag-Cr,1AgCrAs2Te6-1,False,"[0.5, -0.5, 0.0]",4.32665914352981,both
AgCrP2S6,0.0,0.0,P312,90.0,340.0,FM,collinear,Q=Gamma,P312|Ag-Cr,1AgCrP2S6-1,False,"[0.0, 0.0, 0.0]",31.650120046393226,both
AgCrP2Se6,0.0,0.0,P312,0.0,0.0,FM,collinear,Q=Gamma,P312|Ag-Cr,1AgCrP2Se6-1,False,"[0.0, 0.0, 0.0]",24.28833799031338,both
AgF6Ge,0.5,-0.5,P-1,28.0,212.0,AFM_collinear,collinear,Table2,P-1|Ag,1AgGeF6-1,False,"[0.5, -0.5, 0.0]",6.390346471548014,both
AgMoBr4,0.25,0.5,P2/m,90.0,184.0,NC,non_collinear,Q-based,P2/m|Ag-Mo,1AgMoBr4-1,False,,,left_only
AgVP2S6,0.0,0.0,C2,26.0,59.0,FM,collinear,Q=Gamma,C2|Ag-V,1AgVP2S6-1,False,"[0.0, 0.0, 0.0]",18.80128548376092,both
AgVP2Se6,0.0,0.0,C2,0.0,0.0,DM_SS,non_collinear,Table1,C2|Ag-V,1AgVP2Se6-1,False,"[0.0, 0.0, 0.0]",19.283630909477267,both
AlMnI2S2,0.5,0.0,Pmm2,90.0,94.0,AFM_collinear,collinear,Table2,Pmm2|Mn,1AlMnI2S2-1,False,,,left_only
AuSnF6,0.53,-0.42,P-1,32.0,201.0,NC,non_collinear,Q-based,P-1|Au,1AuSnF6-1,False,"[0.5332173707251019, -0.4221523123793038, 0.0]",11.605429852238558,both
AuVP2Se6,0.0,0.0,C2,56.0,239.0,DM_SS,non_collinear,Table1,C2|Au-V,1AuVP2Se6-1,False,"[0.0, 0.0, 0.0]",19.315383050226842,both
NiBrCl,0.1,0.1,P3m1,90.0,322.0,NC,non_collinear,Q-based,P3m1|Ni,1BrClNi-1,False,,,left_only
VBrCl,0.3333333333333333,0.3333333333333333,P3m1,2.0,300.0,NC,non_collinear,Q-based,P3m1|V,1BrClV-1,True,"[0.3333333333333333, 0.3333333333333333, 0.0]",47.27101959488067,both
CrBrI,0.0,0.0,P3m1,84.0,269.0,FM,collinear,Q=Gamma,P3m1|Cr,1BrCrI-1,True,"[0.0, 0.0, 0.0]",38.77869910200005,both
VBrI,0.3333333333333333,0.3333333333333333,P3m1,90.0,148.0,NC,non_collinear,Q-based,P3m1|V,1BrIV-1,True,"[0.3333333333333333, 0.3333333333333333, 0.0]",17.953903197396315,both
VBrI,0.3333333333333333,0.3333333333333333,P3m1,0.0,0.0,NC,non_collinear,Q-based,P3m1|V,1BrIV-2,True,"[0.3333333333333333, 0.3333333333333333, 0.0]",175.17449811038688,both
CrClI,0.0,0.0,P3m1,74.0,237.0,FM,collinear,Q=Gamma,P3m1|Cr,1ClCrI-1,True,"[0.0, 0.0, 0.0]",47.8745578139268,both
CrClTe,0.05,0.05,P3m1,10.0,151.0,NC,non_collinear,Q-based,P3m1|Cr,1ClCrTe-1,False,,,left_only
GaMnBr5Cl,0.51,-0.49,P1,36.0,173.0,AFM_collinear,collinear,Table2,P1|Mn,1ClGaMnBr5-1,False,,,left_only
VClIO,0.0,0.0,Pm,30.0,280.0,DM_SS,non_collinear,Table1,Pm|V,1ClIOV-1,False,,,left_only
VClI,0.3333333333333333,0.3333333333333333,P3m1,90.0,150.0,NC,non_collinear,Q-based,P3m1|V,1ClIV-1,True,"[0.3333333333333333, 0.3333333333333333, 0.0]",28.987740223749725,both
CoBr2,0.0,0.0,P-4m2,0.0,0.0,DM_SS,non_collinear,Table1,P-4m2|Co,1CoBr2-1,False,"[0.0, 0.0, 0.0]",30.11023980542049,both
CoBr2,0.02,0.02,P-3m1,86.0,276.0,NC,non_collinear,Q-based,P-3m1|Co,1CoBr2-2,False,"[0.023809523809523836, 0.023809523809523836, 0.0]",21.154527034964232,both
CoCl2,0.0,0.0,P-4m2,20.0,151.0,FM,collinear,Q=Gamma,P-4m2|Co,1CoCl2-1,False,"[0.0, 0.0, 0.0]",43.81530144995516,both
CoCl2,0.0,0.0,P-3m1,0.0,0.0,FM,collinear,Q=Gamma,P-3m1|Co,1CoCl2-2,False,"[0.0, 0.0, 0.0]",46.020629364061705,both
CoF2,0.0,0.0,P-4m2,90.0,270.0,FM,collinear,Q=Gamma,P-4m2|Co,1CoF2-2,False,"[0.0, 0.0, 0.0]",48.06443964764995,both
CoGa2S4,0.0,0.0,P-3m1,88.0,90.0,FM,collinear,Q=Gamma,P-3m1|Co,1CoGa2S4-1,True,"[0.0, 0.0, 0.0]",39139.463525609346,both
CoGa2S4,0.0,0.0,P-3m1,90.0,276.0,FM,collinear,Q=Gamma,P-3m1|Co,1CoGa2S4-2,True,"[0.0, 0.0, 0.0]",61.912796797123804,both
CoGa2Se4,0.0,0.0,P-3m1,90.0,280.0,FM,collinear,Q=Gamma,P-3m1|Co,1CoGa2Se4-1,True,"[0.0, 0.0, 0.0]",49.66465526044317,both
CoGa2Se4,0.0,0.0,P-3m1,90.0,90.0,FM,collinear,Q=Gamma,P-3m1|Co,1CoGa2Se4-2,True,"[0.0, 0.0, 0.0]",42.57354244697353,both
CoI2,0.08,0.08,P-4m2,90.0,46.0,NC,non_collinear,Q-based,P-4m2|Co,1CoI2-1,False,"[0.08333333333333337, 0.08333333333333337, 0.0]",12.027322761975157,both
CoI2,0.5,0.0,P-3m1,86.0,126.0,AFM_collinear,collinear,Table2,P-3m1|Co,1CoI2-2,False,"[0.5, 0.0, 0.0]",42.127895119977055,both
CoO2,0.0,0.0,P-3m1,90.0,24.0,FM,collinear,Q=Gamma,P-3m1|Co,1CoO2-1,False,"[0.0, 0.0, 0.0]",29.960175257158994,both
CoZrBr6,0.46,-0.46,C2,28.0,246.0,NC,non_collinear,Q-based,C2|Co-Zr,1CoZrBr6-1,False,"[0.4642857142857143, -0.4642857142857143, 0.0]",14.418728237892253,both
CrCuP2Se6,0.0,0.0,C2,8.0,58.0,FM,collinear,Q=Gamma,C2|Cr-Cu,1CrCuP2Se6-1,False,"[0.0, 0.0, 0.0]",19.60579001122653,both
CrGa2S4,0.0,0.0,P-3m1,4.0,277.0,FM,collinear,Q=Gamma,P-3m1|Cr,1CrGa2S4-1,False,"[0.0, 0.0, 0.0]",63.250448079962496,both
CrGa2Se4,0.0,0.0,P-3m1,0.0,0.0,FM,collinear,Q=Gamma,P-3m1|Cr,1CrGa2Se4-1,False,"[0.0, 0.0, 0.0]",102.28581842686424,both
CrGa2Te4,0.0,0.0,P-3m1,0.0,0.0,FM,collinear,Q=Gamma,P-3m1|Cr,1CrGa2Te4-1,False,"[0.0, 0.0, 0.0]",116.10270386801602,both
CrHO2,0.0,0.0,P3m1,0.0,0.0,FM,collinear,Q=Gamma,P3m1|Cr,1CrHO2-1,False,"[0.0, 0.0, 0.0]",31312.952810501727,both
CrI2,0.0,0.0,P-3m1,90.0,240.0,FM,collinear,Q=Gamma,P-3m1|Cr,1CrI2-1,False,"[0.0, 0.0, 0.0]",39.190795237319165,both
CrI2,0.0,0.0,P-4m2,90.0,180.0,FM,collinear,Q=Gamma,P-4m2|Cr,1CrI2-2,False,"[0.0, 0.0, 0.0]",200.99752416442485,both
CrISe,0.0,0.0,P3m1,90.0,282.0,DM_SS,non_collinear,Table1,P3m1|Cr,1CrISe-1,False,,,left_only
CrIn2Te4,0.0,0.0,P-3m1,0.0,0.0,FM,collinear,Q=Gamma,P-3m1|Cr,1CrIn2Te4-1,False,"[0.0, 0.0, 0.0]",128.92257328328327,both
CrO2,0.0,0.0,P-3m1,74.0,208.0,FM,collinear,Q=Gamma,P-3m1|Cr,1CrO2-1,False,"[0.0, 0.0, 0.0]",183.00269304185335,both
CrO2,0.0,0.1666666666666666,P-4m2,90.0,0.0,NC,non_collinear,Q-based,P-4m2|Cr,1CrO2-3,False,"[0.0, 0.16666666666666666, 0.0]",131.95863450720324,both
CrF2O,0.0,0.125,Pmmm,90.0,90.0,NC,non_collinear,Q-based,Pmmm|Cr,1CrOF2-1,False,"[0.0, 0.125, 0.0]",175.6827021700822,both
CrS2,0.0,0.0,P-4m2,0.0,0.0,FM,collinear,Q=Gamma,P-4m2|Cr,1CrS2-3,False,"[0.0, 0.0, 0.0]",107.11348670603726,both
CrSe2,0.0,0.0,P-4m2,90.0,44.0,FM,collinear,Q=Gamma,P-4m2|Cr,1CrSe2-3,False,"[0.0, 0.0, 0.0]",240.0815854011178,both
CuLi2O2,0.0,0.5,C2/m,16.0,274.0,AFM_collinear,collinear,Table2,C2/m|Cu,1CuLi2O2-1,False,"[0.0, 0.5, 0.0]",26418.09607430225,both
CuVP2S6,0.0,0.0,C2,44.0,60.0,FM,collinear,Q=Gamma,C2|Cu-V,1CuVP2S6-1,False,"[0.0, 0.0, 0.0]",20.341719041191197,both
CuVP2Se6,0.0,0.0,C2,6.0,57.0,DM_SS,non_collinear,Table1,C2|Cu-V,1CuVP2Se6-1,False,"[0.0, 0.0, 0.0]",16.888908415388926,both
FeBr2,0.0,0.0,P-3m1,90.0,8.0,FM,collinear,Q=Gamma,P-3m1|Fe,1FeBr2-1,False,"[0.0, 0.0, 0.0]",78.81819794538991,both
FeBr2,0.5,0.5,P-4m2,0.0,0.0,AFM_collinear,collinear,Table2,P-4m2|Fe,1FeBr2-2,False,"[0.5, 0.5, 0.0]",18.55570228208947,both
FeBr2,0.0,0.0,P-6m2,90.0,180.0,FM,collinear,Q=Gamma,P-6m2|Fe,1FeBr2-3,False,"[0.0, 0.0, 0.0]",248.10259573981597,both
FeCl2,0.0,0.0,P-3m1,84.0,56.0,FM,collinear,Q=Gamma,P-3m1|Fe,1FeCl2-1,False,"[0.0, 0.0, 0.0]",107.82774503504555,both
FeCl2,0.5,0.5,P-4m2,0.0,0.0,AFM_collinear,collinear,Table2,P-4m2|Fe,1FeCl2-2,False,"[0.5, 0.5, 0.0]",15.49596015904875,both
FeCl2,0.0,0.0,P-6m2,0.0,0.0,FM,collinear,Q=Gamma,P-6m2|Fe,1FeCl2-3,False,"[0.0, 0.0, 0.0]",316.1164699657206,both
FeI2,0.0,0.0,P-3m1,90.0,0.0,FM,collinear,Q=Gamma,P-3m1|Fe,1FeI2-1,False,"[0.0, 0.0, 0.0]",34.625408308798455,both
FeI2,0.5,0.5,P-4m2,0.0,0.0,AFM_collinear,collinear,Table2,P-4m2|Fe,1FeI2-2,False,"[0.5, 0.5, 0.0]",36.70810227449195,both
FeI2,0.0,0.0,P-6m2,90.0,184.0,FM,collinear,Q=Gamma,P-6m2|Fe,1FeI2-3,False,"[0.0, 0.0, 0.0]",172.70579921782138,both
FeMgBr2O2,-0.35,0.68,Cm,58.0,266.0,NC,non_collinear,Q-based,Cm|Fe,1FeMgBr2O2-1,False,,,left_only
FeO2,0.0,0.0,P-3m1,90.0,270.0,FM,collinear,Q=Gamma,P-3m1|Fe,1FeO2-1,False,"[0.0, 0.0, 0.0]",28.084204806333446,both
