feature,shap,coef,shap_rank,coef_rank
comp_minimum_Number,0.028342604642350083,0.16312688996593935,66.0,61.0
comp_maximum_Number,0.049971246680240604,0.08094079071708672,55.0,108.0
comp_range_Number,0.14663161590846116,0.16397224251783876,27.0,60.0
comp_mean_Number,0.07958512509705552,0.10615077393897925,44.0,96.0
comp_avg_dev_Number,0.2312148791821635,0.07495660008944899,14.0,115.0
comp_mode_Number,0.0024870988458995137,0.07269959818826777,98.0,119.0
comp_minimum_MendeleevNumber,0.016726479345447545,0.14114069177118066,73.0,78.0
comp_maximum_MendeleevNumber,0.012187309506720999,0.06006593793038826,80.0,122.0
comp_range_MendeleevNumber,0.2912778506283551,0.14743312690476845,9.0,71.0
comp_mean_MendeleevNumber,0.6007511357005505,0.19387310723115164,1.0,45.0
comp_avg_dev_MendeleevNumber,0.19439308877236958,0.31168888469525075,17.0,20.0
comp_mode_MendeleevNumber,0.028368679230782536,0.1853739126584653,65.0,47.0
comp_minimum_AtomicWeight,0.004913187118635453,0.07999477151790005,87.0,109.0
comp_maximum_AtomicWeight,0.0017543311165777507,0.07426619196981346,101.0,117.0
comp_range_AtomicWeight,0.05175841210205382,0.09641699421847601,54.0,100.0
comp_mean_AtomicWeight,0.18098447203852927,0.1232477166777323,21.0,88.0
comp_avg_dev_AtomicWeight,0.18431237588206642,0.18260072959619125,20.0,50.0
comp_mode_AtomicWeight,0.0,0.0974106078647107,126.5,99.0
comp_minimum_MeltingT,0.017048274095189875,0.20401044638916996,72.0,40.0
comp_maximum_MeltingT,0.1644185627445555,0.22103722701614484,24.0,34.0
comp_range_MeltingT,0.5567926254518466,0.2574923096149356,2.0,28.0
comp_mean_MeltingT,0.41256431293855483,0.07440372693274537,6.0,116.0
comp_avg_dev_MeltingT,0.1348738805929277,0.06359445513607095,32.0,121.0
comp_mode_MeltingT,0.0058290480488324605,0.26599622283918267,85.0,26.0
comp_minimum_Column,0.02985175988836774,0.11037997949555586,64.0,93.0
comp_maximum_Column,0.0017823101706940488,0.13746328085743018,100.0,80.0
comp_range_Column,0.0600536877873679,0.12862017660257158,51.0,87.0
comp_mean_Column,0.08924793020122476,0.0328731543873627,42.0,127.0
comp_avg_dev_Column,0.08981923710355476,0.0913189277782248,41.0,102.0
comp_mode_Column,0.0,0.14287248605974487,126.5,77.0
comp_minimum_Row,0.0,0.07393124367136095,126.5,118.0
comp_maximum_Row,0.004521262734251738,0.07772127100156263,90.0,111.0
comp_range_Row,0.013874421958804511,0.05165612865046226,77.0,124.0
comp_mean_Row,0.046986398542285604,0.12012811881047822,57.0,89.0
comp_avg_dev_Row,0.04924764228411539,0.10741775128529858,56.0,95.0
comp_mode_Row,0.0,0.1760119862005168,126.5,53.0
comp_minimum_CovalentRadius,0.01453735525949325,0.17488296725057295,75.0,54.0
comp_maximum_CovalentRadius,0.17266224361919824,0.5342395722431152,22.0,1.0
comp_range_CovalentRadius,0.1043102033808944,0.14617147576620013,39.0,72.0
comp_mean_CovalentRadius,0.1326748457417138,0.08484740668829598,33.0,107.0
comp_avg_dev_CovalentRadius,0.2654931305027643,0.13492759149939662,10.0,81.0
comp_mode_CovalentRadius,0.0037293627889839896,0.1992910507054791,92.0,42.0
comp_minimum_Electronegativity,0.18835154817069472,0.15121332000708582,19.0,68.0
comp_maximum_Electronegativity,0.004904585194581669,0.051791014528686084,89.0,123.0
comp_range_Electronegativity,0.05314513570515115,0.04721194762178508,53.0,125.0
comp_mean_Electronegativity,0.21083436493068752,0.252281101054573,16.0,30.0
comp_avg_dev_Electronegativity,0.2510353670800222,0.19953520389348686,12.0,41.0
comp_mode_Electronegativity,0.0,0.16422941821129397,126.5,59.0
comp_minimum_NsValence,0.01435215669650878,0.07752020986491275,76.0,113.0
comp_maximum_NsValence,0.0,0.0,126.5,136.0
comp_range_NsValence,0.004909271805098646,0.07752020986491279,88.0,112.0
comp_mean_NsValence,0.066360430941444,0.15965779866667895,49.0,62.0
comp_avg_dev_NsValence,0.03632750337807183,0.09195843382995086,62.0,101.0
comp_mode_NsValence,0.0,0.21920730453126244,126.5,35.0
comp_minimum_NpValence,0.0,0.0,126.5,136.0
comp_maximum_NpValence,0.0,0.1573177416983289,126.5,63.5
comp_range_NpValence,0.00028924784070434085,0.1573177416983289,105.0,63.5
comp_mean_NpValence,0.040223217608312635,0.19364969921574166,59.0,46.0
comp_avg_dev_NpValence,0.037873126815450915,0.16452946807017846,61.0,58.0
comp_mode_NpValence,0.0,0.2599539668531997,126.5,27.0
comp_minimum_NdValence,0.00931829716305825,0.14537273349683938,82.0,74.0
comp_maximum_NdValence,0.0004318911665909769,0.3486366865241496,104.0,12.0
comp_range_NdValence,0.03808381611913447,0.3467048813384606,60.0,13.0
comp_mean_NdValence,0.04438823822369762,0.31432871635093373,58.0,19.0
comp_avg_dev_NdValence,0.08279315373119325,0.30206193210509175,43.0,21.0
comp_mode_NdValence,0.0,0.13890926128883857,126.5,79.0
comp_minimum_NfValence,0.0,0.0,126.5,136.0
comp_maximum_NfValence,0.00025019750350426814,0.21220894462514822,106.0,37.5
comp_range_NfValence,0.0,0.21220894462514822,126.5,37.5
comp_mean_NfValence,0.00020513206453353272,0.06890339786167025,107.0,120.0
comp_avg_dev_NfValence,0.0,0.07986202265036813,126.5,110.0
comp_mode_NfValence,0.0,0.0,126.5,136.0
comp_minimum_NValence,0.07190799187116458,0.28094752175054216,48.0,25.0
comp_maximum_NValence,0.12816672198330656,0.1115927710754859,34.0,92.0
comp_range_NValence,0.2173955934394541,0.13200976494006292,15.0,86.0
comp_mean_NValence,0.1649258966109663,0.28510835269436463,23.0,24.0
comp_avg_dev_NValence,0.24405811782976333,0.5072522191193188,13.0,3.0
comp_mode_NValence,0.0070185796799612276,0.0765036527905664,84.0,114.0
comp_minimum_NsUnfilled,0.0,0.0,126.5,136.0
comp_maximum_NsUnfilled,0.005821743117407923,0.1502899707959291,86.0,69.5
comp_range_NsUnfilled,0.0,0.1502899707959291,126.5,69.5
comp_mean_NsUnfilled,0.010010192134105724,0.2451843608054499,81.0,31.0
comp_avg_dev_NsUnfilled,0.0,0.15374008436556047,126.5,66.0
comp_mode_NsUnfilled,0.0,0.03921150394268787,126.5,126.0
comp_minimum_NpUnfilled,0.0,0.0,126.5,136.0
comp_maximum_NpUnfilled,0.020071898326302032,0.35865710022031483,70.0,10.5
comp_range_NpUnfilled,0.003198452077379451,0.35865710022031483,96.0,10.5
comp_mean_NpUnfilled,0.023653812322102293,0.20512582014742758,69.0,39.0
comp_avg_dev_NpUnfilled,0.4830328856150632,0.17252867441108777,5.0,56.0
comp_mode_NpUnfilled,0.0026959600384648527,0.36307324852083445,97.0,9.0
comp_minimum_NdUnfilled,0.0,0.0,126.5,136.0
comp_maximum_NdUnfilled,0.025819777393848945,0.08671589590328203,67.0,104.5
comp_range_NdUnfilled,0.0,0.08671589590328203,126.5,104.5
comp_mean_NdUnfilled,0.11207264941108619,0.21653889134236182,37.0,36.0
comp_avg_dev_NdUnfilled,0.06342692351799414,0.14553106246026512,50.0,73.0
comp_mode_NdUnfilled,0.0,0.0,126.5,136.0
comp_minimum_NfUnfilled,0.0,0.0,126.5,136.0
comp_maximum_NfUnfilled,0.0,0.0,126.5,136.0
comp_range_NfUnfilled,0.0,0.0,126.5,136.0
comp_mean_NfUnfilled,0.0,0.0,126.5,136.0
comp_avg_dev_NfUnfilled,0.0,0.0,126.5,136.0
comp_mode_NfUnfilled,0.0,0.0,126.5,136.0
comp_minimum_NUnfilled,0.0012508361533396606,0.2968567176545272,102.0,22.0
comp_maximum_NUnfilled,0.0034584306260781964,0.13472776297153888,94.0,82.0
comp_range_NUnfilled,0.03392600129087868,0.16612130736056097,63.0,57.0
comp_mean_NUnfilled,0.2609175817828612,0.13319308105110056,11.0,84.0
comp_avg_dev_NUnfilled,0.13568044627378228,0.3227107004660589,31.0,18.0
comp_mode_NUnfilled,0.003538457348936716,0.15128509940713203,93.0,67.0
comp_minimum_GSvolume_pa,0.10918392414138588,0.24427425003024314,38.0,32.0
comp_maximum_GSvolume_pa,0.0,0.09011275591242154,126.5,103.0
comp_range_GSvolume_pa,0.19124759990627618,0.0991910703466869,18.0,98.0
comp_mean_GSvolume_pa,0.11700000275730818,0.0853910581399704,35.0,106.0
comp_avg_dev_GSvolume_pa,0.1445511930309327,0.1824832615180747,28.0,51.0
comp_mode_GSvolume_pa,0.023920182188729454,0.11993608375412881,68.0,90.0
comp_minimum_GSbandgap,0.0,0.0,126.5,136.0
comp_maximum_GSbandgap,0.07213476569850169,0.14354210528051387,47.0,75.5
comp_range_GSbandgap,0.00759194116711043,0.14354210528051387,83.0,75.5
comp_mean_GSbandgap,0.14146786755008817,0.33672758361297295,29.0,14.0
comp_avg_dev_GSbandgap,0.3101310052134745,0.5270066450701278,7.0,2.0
comp_mode_GSbandgap,0.01939047136020636,0.24335359915222288,71.0,33.0
comp_minimum_GSmagmom,0.0,0.0,126.5,136.0
comp_maximum_GSmagmom,0.078756722264755,0.3277183105280426,45.0,15.5
comp_range_GSmagmom,0.016617143066982802,0.3277183105280426,74.0,15.5
comp_mean_GSmagmom,0.11418250968052344,0.4029366159265705,36.0,6.0
comp_avg_dev_GSmagmom,0.013128168045996128,0.3767715810398965,78.0,7.0
comp_mode_GSmagmom,0.0,0.0,126.5,136.0
comp_minimum_SpaceGroupNumber,0.004304054042915739,0.15676399799441917,91.0,65.0
comp_maximum_SpaceGroupNumber,0.16110673877022905,0.1744256659056833,26.0,55.0
comp_range_SpaceGroupNumber,0.1024416357331788,0.18502357043926485,40.0,48.0
comp_mean_SpaceGroupNumber,0.16202213249651573,0.17805464465211016,25.0,52.0
comp_avg_dev_SpaceGroupNumber,0.1385608863312268,0.2538902214530376,30.0,29.0
comp_mode_SpaceGroupNumber,0.073004999108548,0.19779327001583247,46.0,44.0
soc_anion_Z_max,0.0005654771362138331,0.10955970642106098,103.0,94.0
soc_anion_Z_mean,0.00228316158347246,0.11576630986534468,99.0,91.0
soc_anion_Z_wmean,0.0001889295895765944,0.09999722190432954,108.0,97.0
soc_heavy_anion_frac,0.0034414316849967525,0.13389342479759145,95.0,83.0
sym_has_inversion,0.5406525612793169,0.41510282783265523,3.0,5.0
sym_cs_hexagonal,0.0,0.1841172446347937,126.5,49.0
sym_cs_monoclinic,0.012559326225391763,0.3675388996819312,79.0,8.0
sym_cs_orthorhombic,0.0,0.1320194690096413,126.5,85.0
sym_cs_tetragonal,0.05533756948311827,0.2905395214465135,52.0,23.0
sym_cs_triclinic,0.0,0.4638728469464753,126.5,4.0
sym_cs_trigonal,0.29508628450254476,0.1978414540501177,8.0,43.0
sym_mag_species_Z,0.5125573979565605,0.32513500331553397,4.0,17.0
