task,target,model,seed,rep,mae,r2,n_test
T3,dE_zx,dummy,0,0,1.9426389049428086,-0.004587226729489524,359
T3,dE_zx,ridge,0,0,2.3417255524481977,-0.0998225490127167,359
T3,dE_zx,lgbm,0,0,2.260581841170714,-0.18180680936942717,359
T3,dE_zx,dummy,0,0,2.185401442703963,-0.0002945305544579391,358
T3,dE_zx,ridge,0,0,2.491972742292513,-0.014909929893399898,358
T3,dE_zx,lgbm,0,0,2.3070073870359122,-0.04162075731346593,358
T3,dE_zx,dummy,0,0,1.9874497583559108,-0.0038494736767535898,358
T3,dE_zx,ridge,0,0,2.3309320806028184,-0.005055869122889467,358
T3,dE_zx,lgbm,0,0,2.2170361234423543,-0.09889899112679945,358
T3,dE_zx,dummy,0,0,1.7510428049846978,-0.0033749390324917528,358
T3,dE_zx,ridge,0,0,2.301128359137172,-0.08085853463790205,358
T3,dE_zx,lgbm,0,0,2.101362538309134,-0.14222977220385902,358
T3,dE_zx,dummy,0,0,3.0720758852399226,-0.0011250325555007823,358
T3,dE_zx,ridge,0,0,3.1484496321770483,-0.0005858018898177164,358
T3,dE_zx,lgbm,0,0,3.224083453932814,0.014698223042544978,358
T3,dE_zx,dummy,0,1,1.9426389049428086,-0.004587226729489524,359
T3,dE_zx,ridge,0,1,2.3417255524481972,-0.0998225490127167,359
T3,dE_zx,lgbm,0,1,2.2605818411707137,-0.18180680936942717,359
T3,dE_zx,dummy,0,1,2.185401442703963,-0.00029453055445838316,358
T3,dE_zx,ridge,0,1,2.491972742292513,-0.014909929893400564,358
T3,dE_zx,lgbm,0,1,2.3070073870359122,-0.04162075731346593,358
T3,dE_zx,dummy,0,1,1.9874497583559108,-0.0038494736767535898,358
T3,dE_zx,ridge,0,1,2.330932080602818,-0.005055869122889023,358
T3,dE_zx,lgbm,0,1,2.2170361234423543,-0.09889899112679945,358
T3,dE_zx,dummy,0,1,1.7510428049846978,-0.0033749390324917528,358
T3,dE_zx,ridge,0,1,2.3011283591371723,-0.08085853463790205,358
T3,dE_zx,lgbm,0,1,2.1013625383091337,-0.1422297722038588,358
T3,dE_zx,dummy,0,1,3.0720758852399226,-0.0011250325555005602,358
T3,dE_zx,ridge,0,1,3.1484496321770483,-0.0005858018898174944,358
T3,dE_zx,lgbm,0,1,3.2240834539328147,0.014698223042545089,358
T3,dE_zx,dummy,0,2,1.9426389049428086,-0.004587226729489524,359
T3,dE_zx,ridge,0,2,2.3417255524481977,-0.09982254901271648,359
T3,dE_zx,lgbm,0,2,2.2605818411707137,-0.18180680936942717,359
T3,dE_zx,dummy,0,2,2.185401442703963,-0.0002945305544581611,358
T3,dE_zx,ridge,0,2,2.4919727422925133,-0.01490992989340012,358
T3,dE_zx,lgbm,0,2,2.3070073870359122,-0.04162075731346593,358
T3,dE_zx,dummy,0,2,1.9874497583559108,-0.0038494736767533677,358
T3,dE_zx,ridge,0,2,2.330932080602818,-0.005055869122889023,358
T3,dE_zx,lgbm,0,2,2.2170361234423543,-0.09889899112679901,358
T3,dE_zx,dummy,0,2,1.7510428049846978,-0.0033749390324917528,358
T3,dE_zx,ridge,0,2,2.3011283591371723,-0.08085853463790205,358
T3,dE_zx,lgbm,0,2,2.1013625383091337,-0.1422297722038588,358
T3,dE_zx,dummy,0,2,3.0720758852399226,-0.0011250325555005602,358
T3,dE_zx,ridge,0,2,3.1484496321770483,-0.0005858018898174944,358
T3,dE_zx,lgbm,0,2,3.2240834539328147,0.014698223042544978,358
T3,dE_zx,dummy,1,0,1.9426389049428083,-0.004587226729489524,359
T3,dE_zx,ridge,1,0,2.3235938757792267,-0.09471166636726802,359
T3,dE_zx,lgbm,1,0,2.102080922959183,-0.10749668567085235,359
T3,dE_zx,dummy,1,0,2.185401442703963,-0.0002945305544581611,358
T3,dE_zx,ridge,1,0,2.483472913347165,-0.014046200332415104,358
T3,dE_zx,lgbm,1,0,2.2566856628883474,-0.03236050484183339,358
T3,dE_zx,dummy,1,0,1.9874497583559108,-0.0038494736767535898,358
T3,dE_zx,ridge,1,0,2.3167586233740916,-0.005077061214410872,358
T3,dE_zx,lgbm,1,0,2.0819838389412952,-0.007253335158879715,358
T3,dE_zx,dummy,1,0,1.7510428049846978,-0.0033749390324917528,358
T3,dE_zx,ridge,1,0,2.274461265043037,-0.07584871253964298,358
T3,dE_zx,lgbm,1,0,1.9734018196002825,-0.03525637108936408,358
T3,dE_zx,dummy,1,0,3.0720758852399226,-0.0011250325555007823,358
T3,dE_zx,ridge,1,0,3.1424243293305145,-0.0006720882496964453,358
T3,dE_zx,lgbm,1,0,3.131842402881557,0.014195309226109898,358
T3,dE_zx,dummy,1,1,1.9426389049428086,-0.004587226729489302,359
T3,dE_zx,ridge,1,1,2.3235938757792267,-0.0947116663672678,359
T3,dE_zx,lgbm,1,1,2.1020809229591833,-0.10749668567085235,359
T3,dE_zx,dummy,1,1,2.185401442703963,-0.00029453055445838316,358
T3,dE_zx,ridge,1,1,2.4834729133471654,-0.014046200332415326,358
T3,dE_zx,lgbm,1,1,2.2566856628883474,-0.03236050484183317,358
T3,dE_zx,dummy,1,1,1.9874497583559108,-0.0038494736767533677,358
T3,dE_zx,ridge,1,1,2.3167586233740916,-0.00507706121441065,358
T3,dE_zx,lgbm,1,1,2.0819838389412952,-0.0072533351588790484,358
T3,dE_zx,dummy,1,1,1.7510428049846978,-0.0033749390324917528,358
T3,dE_zx,ridge,1,1,2.274461265043036,-0.0758487125396432,358
T3,dE_zx,lgbm,1,1,1.9734018196002825,-0.0352563710893643,358
T3,dE_zx,dummy,1,1,3.072075885239923,-0.0011250325555007823,358
T3,dE_zx,ridge,1,1,3.142424329330514,-0.0006720882496968894,358
T3,dE_zx,lgbm,1,1,3.1318424028815564,0.014195309226109676,358
T3,dE_zx,dummy,1,2,1.9426389049428083,-0.004587226729489524,359
T3,dE_zx,ridge,1,2,2.3235938757792267,-0.09471166636726802,359
T3,dE_zx,lgbm,1,2,2.1020809229591833,-0.10749668567085235,359
T3,dE_zx,dummy,1,2,2.185401442703963,-0.0002945305544579391,358
T3,dE_zx,ridge,1,2,2.4834729133471654,-0.014046200332414882,358
T3,dE_zx,lgbm,1,2,2.2566856628883474,-0.03236050484183317,358
T3,dE_zx,dummy,1,2,1.9874497583559108,-0.0038494736767535898,358
T3,dE_zx,ridge,1,2,2.316758623374091,-0.005077061214410872,358
T3,dE_zx,lgbm,1,2,2.0819838389412952,-0.0072533351588794925,358
T3,dE_zx,dummy,1,2,1.7510428049846978,-0.0033749390324917528,358
T3,dE_zx,ridge,1,2,2.274461265043036,-0.0758487125396432,358
T3,dE_zx,lgbm,1,2,1.9734018196002825,-0.0352563710893643,358
T3,dE_zx,dummy,1,2,3.0720758852399226,-0.0011250325555003382,358
T3,dE_zx,ridge,1,2,3.1424243293305145,-0.0006720882496968894,358
T3,dE_zx,lgbm,1,2,3.131842402881557,0.014195309226109898,358
T3,dE_zx,dummy,2,0,1.9426389049428083,-0.004587226729489524,359
T3,dE_zx,ridge,2,0,2.3665662852241143,-0.1070250945561042,359
T3,dE_zx,lgbm,2,0,2.1126573306323895,-0.10988468260184181,359
T3,dE_zx,dummy,2,0,2.1854014427039625,-0.00029453055445838316,358
T3,dE_zx,ridge,2,0,2.504313115282578,-0.01612570874712116,358
T3,dE_zx,lgbm,2,0,2.2493175795958913,-0.035391332410239285,358
T3,dE_zx,dummy,2,0,1.9874497583559108,-0.0038494736767533677,358
T3,dE_zx,ridge,2,0,2.3497988801450593,-0.00501047431917967,358
T3,dE_zx,lgbm,2,0,2.092179671981795,-0.018344632962830065,358
T3,dE_zx,dummy,2,0,1.7510428049846978,-0.0033749390324917528,358
T3,dE_zx,ridge,2,0,2.338190519095509,-0.08799792429174613,358
T3,dE_zx,lgbm,2,0,1.9868275459033045,-0.06933415878656679,358
T3,dE_zx,dummy,2,0,3.0720758852399226,-0.0011250325555007823,358
T3,dE_zx,ridge,2,0,3.1568246408254477,-0.0004817123012508251,358
T3,dE_zx,lgbm,2,0,3.1303823495714345,0.01524353085724195,358
T3,dE_zx,dummy,2,1,1.9426389049428086,-0.004587226729489524,359
T3,dE_zx,ridge,2,1,2.3665662852241147,-0.10702509455610398,359
T3,dE_zx,lgbm,2,1,2.1126573306323895,-0.10988468260184181,359
T3,dE_zx,dummy,2,1,2.185401442703963,-0.00029453055445838316,358
T3,dE_zx,ridge,2,1,2.504313115282578,-0.01612570874712116,358
T3,dE_zx,lgbm,2,1,2.2493175795958904,-0.035391332410239285,358
T3,dE_zx,dummy,2,1,1.9874497583559108,-0.0038494736767533677,358
T3,dE_zx,ridge,2,1,2.3497988801450598,-0.005010474319179892,358
T3,dE_zx,lgbm,2,1,2.0921796719817944,-0.018344632962830065,358
T3,dE_zx,dummy,2,1,1.7510428049846978,-0.0033749390324917528,358
T3,dE_zx,ridge,2,1,2.338190519095509,-0.08799792429174613,358
T3,dE_zx,lgbm,2,1,1.9868275459033045,-0.06933415878656657,358
T3,dE_zx,dummy,2,1,3.0720758852399226,-0.0011250325555007823,358
T3,dE_zx,ridge,2,1,3.156824640825448,-0.00048171230125104714,358
T3,dE_zx,lgbm,2,1,3.1303823495714345,0.01524353085724206,358
T3,dE_zx,dummy,2,2,1.9426389049428088,-0.004587226729489524,359
T3,dE_zx,ridge,2,2,2.3665662852241143,-0.10702509455610398,359
T3,dE_zx,lgbm,2,2,2.1126573306323895,-0.10988468260184181,359
T3,dE_zx,dummy,2,2,2.185401442703963,-0.0002945305544581611,358
T3,dE_zx,ridge,2,2,2.504313115282578,-0.01612570874712116,358
T3,dE_zx,lgbm,2,2,2.2493175795958913,-0.03539133241023884,358
T3,dE_zx,dummy,2,2,1.9874497583559108,-0.0038494736767533677,358
T3,dE_zx,ridge,2,2,2.3497988801450598,-0.005010474319179448,358
T3,dE_zx,lgbm,2,2,2.0921796719817944,-0.01834463296282962,358
T3,dE_zx,dummy,2,2,1.7510428049846978,-0.0033749390324917528,358
T3,dE_zx,ridge,2,2,2.338190519095509,-0.08799792429174613,358
T3,dE_zx,lgbm,2,2,1.9868275459033042,-0.06933415878656657,358
T3,dE_zx,dummy,2,2,3.0720758852399226,-0.0011250325555007823,358
T3,dE_zx,ridge,2,2,3.1568246408254477,-0.00048171230125104714,358
T3,dE_zx,lgbm,2,2,3.1303823495714345,0.015243530857241727,358
T3,dE_zx,dummy,3,0,1.9426389049428086,-0.004587226729489524,359
T3,dE_zx,ridge,3,0,2.346399111948841,-0.1011497104447856,359
T3,dE_zx,lgbm,3,0,2.03845030187988,-0.06391217555239037,359
T3,dE_zx,dummy,3,0,2.185401442703963,-0.0002945305544581611,358
T3,dE_zx,ridge,3,0,2.4942196966148087,-0.015134043465125702,358
T3,dE_zx,lgbm,3,0,2.2292972855944346,-0.02540422048403479,358
T3,dE_zx,dummy,3,0,1.9874497583559108,-0.0038494736767535898,358
T3,dE_zx,ridge,3,0,2.334467475031887,-0.005048545135523996,358
T3,dE_zx,lgbm,3,0,2.020721029938191,-0.007269617020391639,358
T3,dE_zx,dummy,3,0,1.7510428049846978,-0.003374939032491975,358
T3,dE_zx,ridge,3,0,2.308028371449555,-0.08216719735232858,358
T3,dE_zx,lgbm,3,0,1.8960435545690852,-0.009022103628081535,358
T3,dE_zx,dummy,3,0,3.072075885239923,-0.0011250325555005602,358
T3,dE_zx,ridge,3,0,3.1500297510973834,-0.0005650426622234583,358
T3,dE_zx,lgbm,3,0,3.104127939901813,0.003258390547580148,358
T3,dE_zx,dummy,3,1,1.9426389049428083,-0.004587226729489524,359
T3,dE_zx,ridge,3,1,2.3463991119488408,-0.1011497104447856,359
T3,dE_zx,lgbm,3,1,2.03845030187988,-0.06391217555239037,359
T3,dE_zx,dummy,3,1,2.185401442703963,-0.0002945305544581611,358
T3,dE_zx,ridge,3,1,2.4942196966148087,-0.015134043465125702,358
T3,dE_zx,lgbm,3,1,2.2292972855944346,-0.025404220484034568,358
T3,dE_zx,dummy,3,1,1.9874497583559108,-0.0038494736767533677,358
T3,dE_zx,ridge,3,1,2.334467475031887,-0.005048545135523996,358
T3,dE_zx,lgbm,3,1,2.020721029938191,-0.007269617020391861,358
T3,dE_zx,dummy,3,1,1.7510428049846978,-0.0033749390324917528,358
T3,dE_zx,ridge,3,1,2.3080283714495544,-0.08216719735232858,358
T3,dE_zx,lgbm,3,1,1.8960435545690848,-0.009022103628081535,358
T3,dE_zx,dummy,3,1,3.0720758852399226,-0.0011250325555005602,358
T3,dE_zx,ridge,3,1,3.1500297510973834,-0.0005650426622234583,358
T3,dE_zx,lgbm,3,1,3.1041279399018133,0.0032583905475800368,358
T3,dE_zx,dummy,3,2,1.9426389049428083,-0.004587226729489524,359
