task,scenario,model,seed,f1_macro,mcc,n_test
T4cls,indist_c2db,dummy,0,0.5034752330675053,0.00695862616106557,1130
T4cls,indist_c2db,logreg,0,0.8091996177238359,0.6324426094037953,1130
T4cls,indist_c2db,lgbm,0,0.9142668241873774,0.8287217754113049,1130
T4cls,indist_c2db,dummy,0,0.4821863740879546,-0.03562379791369009,1126
T4cls,indist_c2db,logreg,0,0.7962818832268284,0.604878462365732,1126
T4cls,indist_c2db,lgbm,0,0.9143999635097535,0.8292127378390328,1126
T4cls,indist_c2db,dummy,0,0.48316747163877344,-0.033657321989782024,1130
T4cls,indist_c2db,logreg,0,0.7956155131989726,0.6069795499041212,1130
T4cls,indist_c2db,lgbm,0,0.9221721854304636,0.8452251315328683,1130
T4cls,indist_c2db,dummy,0,0.516380239458747,0.03276142065625118,1127
T4cls,indist_c2db,logreg,0,0.7871718821163951,0.5852472341078356,1127
T4cls,indist_c2db,lgbm,0,0.9120059376128115,0.8250324323256012,1127
T4cls,indist_c2db,dummy,0,0.5299588343624743,0.05992155957281492,1127
T4cls,indist_c2db,logreg,0,0.7899473342224959,0.590102887844868,1127
T4cls,indist_c2db,lgbm,0,0.9212085902767819,0.8425362583831605,1127
T4cls,indist_c2db,dummy,1,0.4732051411508446,-0.053586361514502114,1128
T4cls,indist_c2db,logreg,1,0.8101274862193144,0.6327532973854993,1128
T4cls,indist_c2db,lgbm,1,0.9145922689434935,0.8295956093554927,1128
T4cls,indist_c2db,dummy,1,0.523854403639909,0.047712641113390596,1127
T4cls,indist_c2db,logreg,1,0.7982537913331307,0.6132819053793598,1127
T4cls,indist_c2db,lgbm,1,0.9205865851776729,0.8415876608303693,1127
T4cls,indist_c2db,dummy,1,0.49151075400660676,-0.01697496491343707,1128
T4cls,indist_c2db,logreg,1,0.7945669934640522,0.600860762796156,1128
T4cls,indist_c2db,lgbm,1,0.9227096346090042,0.8454268216894284,1128
T4cls,indist_c2db,dummy,1,0.49151075400660676,-0.01697496491343707,1128
T4cls,indist_c2db,logreg,1,0.775922392798544,0.5666702866009596,1128
T4cls,indist_c2db,lgbm,1,0.9143229166666667,0.82871348307666,1128
T4cls,indist_c2db,dummy,1,0.512054571517068,0.024112857136078757,1129
T4cls,indist_c2db,logreg,1,0.7999986373144192,0.6108068747951804,1129
T4cls,indist_c2db,lgbm,1,0.9160509820047176,0.8321482877936542,1129
T4cls,indist_c2db,dummy,2,0.5057484528944218,0.011500565776280183,1128
T4cls,indist_c2db,logreg,2,0.8045280447817086,0.6244791426663182,1128
T4cls,indist_c2db,lgbm,2,0.9356946818531847,0.8714840438579446,1128
T4cls,indist_c2db,dummy,2,0.5057484528944218,0.011500565776280183,1128
T4cls,indist_c2db,logreg,2,0.783800804312484,0.5768002535760385,1128
T4cls,indist_c2db,lgbm,2,0.9132889599287481,0.8278879341715639,1128
T4cls,indist_c2db,dummy,2,0.48947679702263314,-0.021042897869110965,1128
T4cls,indist_c2db,logreg,2,0.8092689032146234,0.6312848281934181,1128
T4cls,indist_c2db,lgbm,2,0.9199484720841047,0.8399137620650589,1128
T4cls,indist_c2db,dummy,2,0.5177499729173437,0.03550372265396627,1127
T4cls,indist_c2db,logreg,2,0.7911888831703551,0.5912374234495396,1127
T4cls,indist_c2db,lgbm,2,0.9040231858577257,0.8088834387823516,1127
