task,scenario,model,seed,f1_macro,mcc,n_test,mae_uB,r2
T4cls,LODO_c2db,dummy,0,0.5052246471080146,0.011950133026078044,4111,,
T4cls,LODO_c2db,logreg,0,0.7182613286414803,0.45810386413708065,4111,,
T4cls,LODO_c2db,lgbm,0,0.8237486790857764,0.6538292093340329,4111,,
T4reg,LODO_c2db,dummy,0,,,1202,0.32737788420787334,-0.020209461180921595
T4reg,LODO_c2db,ridge,0,,,1202,0.28921565752315076,0.1481521979223147
T4reg,LODO_c2db,lgbm,0,,,1202,0.1729906595195811,0.6105974155139264
T4cls,LODO_c2db,dummy,1,0.5052246471080146,0.011950133026078044,4111,,
T4cls,LODO_c2db,logreg,1,0.7177774493828832,0.4577477521880331,4111,,
T4cls,LODO_c2db,lgbm,1,0.8279218635406423,0.6578766932394826,4111,,
T4reg,LODO_c2db,dummy,1,,,1202,0.32737788420787334,-0.020209461180921595
T4reg,LODO_c2db,ridge,1,,,1202,0.2892275653962291,0.14802265723958918
T4reg,LODO_c2db,lgbm,1,,,1202,0.16455179445495716,0.6334850160375047
T4cls,LODO_c2db,dummy,2,0.5052246471080146,0.011950133026078044,4111,,
T4cls,LODO_c2db,logreg,2,0.716798594904904,0.45593652153242603,4111,,
T4cls,LODO_c2db,lgbm,2,0.81832691699815,0.641645644787523,4111,,
T4reg,LODO_c2db,dummy,2,,,1202,0.32737788420787334,-0.020209461180921595
T4reg,LODO_c2db,ridge,2,,,1202,0.28724166063816214,0.17094381677551718
T4reg,LODO_c2db,lgbm,2,,,1202,0.16083892632093155,0.6596417034637524
T4cls,LODO_c2db,dummy,3,0.5052246471080146,0.011950133026078044,4111,,
T4cls,LODO_c2db,logreg,3,0.7175036972119391,0.45665195275345605,4111,,
T4cls,LODO_c2db,lgbm,3,0.8202299027974482,0.6472928252018985,4111,,
T4reg,LODO_c2db,dummy,3,,,1202,0.32737788420787334,-0.020209461180921595
T4reg,LODO_c2db,ridge,3,,,1202,0.28909314351779813,0.14948054756456197
T4reg,LODO_c2db,lgbm,3,,,1202,0.16639856165672343,0.6412022097771509
T4cls,LODO_c2db,dummy,4,0.5052246471080146,0.011950133026078044,4111,,
T4cls,LODO_c2db,logreg,4,0.7198169781847654,0.46064667374396606,4111,,
T4cls,LODO_c2db,lgbm,4,0.8253361016865409,0.6525925843191196,4111,,
T4reg,LODO_c2db,dummy,4,,,1202,0.32737788420787334,-0.020209461180921595
T4reg,LODO_c2db,ridge,4,,,1202,0.28815145160526523,0.16035851537098178
T4reg,LODO_c2db,lgbm,4,,,1202,0.17285818569935468,0.6233571548430822
T4cls,LODO_jarvis2d,dummy,0,0.49409380023764593,0.0205221086366892,154,,
T4cls,LODO_jarvis2d,logreg,0,0.594108527131783,0.21219894879855009,154,,
T4cls,LODO_jarvis2d,lgbm,0,0.6540032679738562,0.30800653594771243,154,,
T4reg,LODO_jarvis2d,dummy,0,,,18,0.44280455286640874,-0.0007649729782228665
T4reg,LODO_jarvis2d,ridge,0,,,18,0.38871055517585457,0.16766772650028605
T4reg,LODO_jarvis2d,lgbm,0,,,18,0.31676032430601875,0.25974617535003375
T4cls,LODO_jarvis2d,dummy,1,0.49409380023764593,0.0205221086366892,154,,
T4cls,LODO_jarvis2d,logreg,1,0.5995587424158852,0.22060776113795424,154,,
T4cls,LODO_jarvis2d,lgbm,1,0.6854575163398693,0.3709150326797386,154,,
T4reg,LODO_jarvis2d,dummy,1,,,18,0.44280455286640874,-0.0007649729782228665
T4reg,LODO_jarvis2d,ridge,1,,,18,0.3887352270380452,0.16762020056873128
T4reg,LODO_jarvis2d,lgbm,1,,,18,0.35840354635402455,0.09977516890872207
T4cls,LODO_jarvis2d,dummy,2,0.49409380023764593,0.0205221086366892,154,,
T4cls,LODO_jarvis2d,logreg,2,0.612268253604944,0.2533201985524494,154,,
T4cls,LODO_jarvis2d,lgbm,2,0.655223880597015,0.3135467219426135,154,,
T4reg,LODO_jarvis2d,dummy,2,,,18,0.44280455286640874,-0.0007649729782228665
T4reg,LODO_jarvis2d,ridge,2,,,18,0.38869937158570067,0.16768926932953165
T4reg,LODO_jarvis2d,lgbm,2,,,18,0.32568373484265,0.2010847301714921
T4cls,LODO_jarvis2d,dummy,3,0.49409380023764593,0.0205221086366892,154,,
T4cls,LODO_jarvis2d,logreg,3,0.612268253604944,0.2533201985524494,154,,
T4cls,LODO_jarvis2d,lgbm,3,0.6917357735201601,0.38549553972194134,154,,
T4reg,LODO_jarvis2d,dummy,3,,,18,0.44280455286640874,-0.0007649729782228665
T4reg,LODO_jarvis2d,ridge,3,,,18,0.3887025250341395,0.16768319489751948
T4reg,LODO_jarvis2d,lgbm,3,,,18,0.33351091189127746,0.16641657151204003
T4cls,LODO_jarvis2d,dummy,4,0.49409380023764593,0.0205221086366892,154,,
T4cls,LODO_jarvis2d,logreg,4,0.612268253604944,0.2533201985524494,154,,
T4cls,LODO_jarvis2d,lgbm,4,0.6623772757601754,0.3266003878199781,154,,
T4reg,LODO_jarvis2d,dummy,4,,,18,0.44280455286640874,-0.0007649729782228665
T4reg,LODO_jarvis2d,ridge,4,,,18,0.38872781880438007,0.16763447132430132
T4reg,LODO_jarvis2d,lgbm,4,,,18,0.32304079323691615,0.2121218246629899
T4cls,LODO_twodmatpedia,dummy,0,0.5018106829365175,0.004135835766904399,4030,,
T4cls,LODO_twodmatpedia,logreg,0,0.674703269738798,0.3731518002235469,4030,,
T4cls,LODO_twodmatpedia,lgbm,0,0.7293819860425377,0.4611570596607779,4030,,
T4reg,LODO_twodmatpedia,dummy,0,,,1141,0.3750834357916569,-0.04926791190478119
T4reg,LODO_twodmatpedia,ridge,0,,,1141,0.35675558306141314,-0.29994378994731496
T4reg,LODO_twodmatpedia,lgbm,0,,,1141,0.26763632721690145,0.10942961291026021
T4cls,LODO_twodmatpedia,dummy,1,0.5018106829365175,0.004135835766904399,4030,,
T4cls,LODO_twodmatpedia,logreg,1,0.6765725126763255,0.37687342408671903,4030,,
T4cls,LODO_twodmatpedia,lgbm,1,0.7293631832236513,0.46343872826191335,4030,,
T4reg,LODO_twodmatpedia,dummy,1,,,1141,0.3750834357916569,-0.04926791190478119
T4reg,LODO_twodmatpedia,ridge,1,,,1141,0.35675825152731366,-0.30014892595666187
T4reg,LODO_twodmatpedia,lgbm,1,,,1141,0.26404108720839536,0.12171282567463038
T4cls,LODO_twodmatpedia,dummy,2,0.5018106829365175,0.004135835766904399,4030,,
