run_stamp,task,model,seed,repeat,fold,f1_macro,mcc,bal_acc,n_test
20260809-204550,T1,dummy_majority,3,1.0,3.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,3,1.0,2.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,3,1.0,1.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,3,1.0,0.0,0.3529411764705882,0.0,0.5,33.0
20260809-204550,T1,lgbm,3,0.0,4.0,0.7416666666666667,0.48954403412209796,0.74375,31.0
20260809-204550,T1,lgbm,3,0.0,3.0,0.6092436974789917,0.22364661023097637,0.6104166666666666,31.0
20260809-204550,T1,lgbm,3,0.0,2.0,0.5824561403508772,0.18156825980064073,0.5882352941176471,34.0
20260809-204550,T1,logreg,3,0.0,3.0,0.5735449735449736,0.15817166261312793,0.5770833333333334,31.0
20260809-204550,T1,lgbm,3,0.0,0.0,0.6278195488721805,0.33708038864015377,0.6555555555555556,33.0
20260809-204550,T1,logreg,3,0.0,4.0,0.6770833333333333,0.3541666666666667,0.6770833333333333,31.0
20260809-204550,T1,logreg,3,0.0,2.0,0.6421052631578947,0.3026137663344012,0.6470588235294117,34.0
20260809-204550,T1,logreg,3,0.0,1.0,0.5955555555555556,0.3429971702850177,0.6372549019607843,35.0
20260809-204550,T1,logreg,3,0.0,0.0,0.6654377880184332,0.36232865092627065,0.6777777777777778,33.0
20260809-204550,T1,dummy_majority,3,1.0,4.0,0.3333333333333333,0.0,0.5,32.0
20260809-204550,T1,lgbm,3,0.0,1.0,0.56575682382134,0.1554941669103437,0.5751633986928104,35.0
20260809-204550,T1,dummy_stratified,3,1.0,0.0,0.45,-0.06900655593423542,0.4666666666666667,33.0
20260809-204550,T1,lgbm,3,1.0,0.0,0.4994944388270981,0.21602468994692867,0.5777777777777777,33.0
20260809-204550,T1,dummy_stratified,3,1.0,2.0,0.4156570363466915,-0.14896350576708434,0.4283088235294118,33.0
20260809-204550,T1,dummy_majority,3,2.0,3.0,0.3461538461538461,0.0,0.5,34.0
20260809-204550,T1,dummy_majority,3,2.0,2.0,0.3461538461538461,0.0,0.5,34.0
20260809-204550,T1,dummy_majority,3,2.0,1.0,0.3404255319148936,0.0,0.5,31.0
20260809-204550,T1,dummy_majority,3,2.0,0.0,0.34,0.0,0.5,33.0
20260809-204550,T1,lgbm,3,1.0,3.0,0.6192307692307693,0.3217979514674192,0.6433823529411764,33.0
20260809-204550,T1,lgbm,3,1.0,2.0,0.7272727272727273,0.45588235294117646,0.7279411764705883,33.0
20260809-204550,T1,lgbm,3,1.0,1.0,0.5111111111111111,0.026023923263861343,0.5128676470588236,33.0
20260809-204550,T1,dummy_stratified,3,0.0,4.0,0.3767195767195767,-0.2263009527424072,0.39166666666666666,31.0
20260809-204550,T1,logreg,3,1.0,4.0,0.6235294117647059,0.2519763153394848,0.625,32.0
20260809-204550,T1,logreg,3,1.0,3.0,0.7870967741935484,0.5873971250985845,0.7904411764705883,33.0
20260809-204550,T1,logreg,3,1.0,2.0,0.7870967741935484,0.575649675601062,0.7867647058823529,33.0
20260809-204550,T1,logreg,3,1.0,1.0,0.4540441176470588,-0.09191176470588236,0.4540441176470588,33.0
20260809-204550,T1,logreg,3,1.0,0.0,0.6966911764705883,0.3985266984930429,0.7,33.0
20260809-204550,T1,dummy_stratified,3,1.0,4.0,0.5555555555555556,0.12909944487358055,0.5625,32.0
20260809-204550,T1,dummy_stratified,3,1.0,3.0,0.5386766076421249,0.10312858091567377,0.5496323529411764,33.0
20260809-204550,T1,dummy_stratified,3,1.0,1.0,0.4156570363466915,-0.14896350576708434,0.4283088235294118,33.0
20260809-204550,T1,dummy_stratified,3,0.0,3.0,0.4423280423280423,-0.09139076937674137,0.45625,31.0
20260809-204550,T1,lgbm,2,2.0,3.0,0.6966911764705883,0.3985266984930429,0.6985294117647058,33.0
20260809-204550,T1,dummy_stratified,3,0.0,1.0,0.3920595533498759,-0.19943817060239738,0.4035947712418301,35.0
20260809-204550,T1,dummy_stratified,2,2.0,1.0,0.5555555555555556,0.15244937348544793,0.5725490196078431,32.0
20260809-204550,T1,dummy_stratified,2,2.0,0.0,0.4156570363466915,-0.14896350576708434,0.4283088235294118,33.0
20260809-204550,T1,dummy_majority,2,2.0,4.0,0.3333333333333333,0.0,0.5,34.0
20260809-204550,T1,dummy_majority,2,2.0,3.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,2,2.0,2.0,0.3469387755102041,0.0,0.5,32.0
20260809-204550,T1,dummy_majority,2,2.0,1.0,0.3469387755102041,0.0,0.5,32.0
20260809-204550,T1,dummy_majority,2,2.0,0.0,0.34,0.0,0.5,33.0
20260809-204550,T1,lgbm,2,1.0,4.0,0.7408906882591093,0.5067911605056783,0.7411764705882353,32.0
20260809-204550,T1,lgbm,2,1.0,3.0,0.5925925925925926,0.21437323142813605,0.6011029411764706,33.0
20260809-204550,T1,lgbm,2,1.0,2.0,0.7573529411764706,0.520298745254806,0.7591911764705883,33.0
20260809-204550,T1,lgbm,2,1.0,1.0,0.5111111111111111,0.037603552349761676,0.5183823529411764,33.0
20260809-204550,T1,lgbm,2,1.0,0.0,0.6616961789375583,0.3552206675984319,0.6709558823529411,33.0
20260809-204550,T1,logreg,2,1.0,4.0,0.746031746031746,0.498071218278486,0.7450980392156863,32.0
20260809-204550,T1,logreg,2,1.0,3.0,0.7272727272727273,0.45588235294117646,0.7279411764705883,33.0
20260809-204550,T1,logreg,2,1.0,2.0,0.6060606060606061,0.21323529411764705,0.6066176470588236,33.0
20260809-204550,T1,dummy_stratified,2,2.0,2.0,0.4285714285714286,-0.11124684011100254,0.44705882352941173,32.0
20260809-204550,T1,dummy_stratified,3,0.0,2.0,0.5228070175438597,0.06052275326688024,0.5294117647058824,34.0
20260809-204550,T1,dummy_stratified,2,2.0,3.0,0.4771668219944082,-0.022917462425705283,0.48897058823529416,33.0
20260809-204550,T1,logreg,2,2.0,0.0,0.4771668219944082,-0.022917462425705283,0.48897058823529416,33.0
20260809-204550,T1,dummy_stratified,3,0.0,0.0,0.5111111111111111,0.05750546327852952,0.5277777777777778,33.0
20260809-204550,T1,dummy_majority,3,0.0,4.0,0.3404255319148936,0.0,0.5,31.0
20260809-204550,T1,dummy_majority,3,0.0,3.0,0.3404255319148936,0.0,0.5,31.0
20260809-204550,T1,dummy_majority,3,0.0,2.0,0.3333333333333333,0.0,0.5,34.0
