formula,qx,qy,sg,theta,phi,label4,label2,label_src,group_id,uid,uid_ambiguous
Ag2ReBr6,0.3333333333333333,0.3333333333333333,P-31m,86,190,NC,non_collinear,Q-based,P-31m|Ag-Re,1ReAg2Br6-1,False
Ag2ReCl6,0.3333333333333333,0.3333333333333333,P-31m,90,60,NC,non_collinear,Q-based,P-31m|Ag-Re,1ReAg2Cl6-1,False
Ag2ReF6,0.3333333333333333,0.3333333333333333,P-3,90,38,NC,non_collinear,Q-based,P-3|Ag-Re,1ReAg2F6-1,False
Ag2ReI6,0.3333333333333333,0.3333333333333333,P-31m,22,199,NC,non_collinear,Q-based,P-31m|Ag-Re,1ReAg2I6-1,False
AgCrAs2Se6,0.07,0.07,P312,2,240,NC,non_collinear,Q-based,P312|Ag-Cr,1AgCrAs2Se6-1,False
AgCrAs2Te6,0.5,-0.5,C2,2,240,AFM_collinear,collinear,Table2,C2|Ag-Cr,1AgCrAs2Te6-1,False
AgCrP2S6,0.0,0.0,P312,90,340,FM,collinear,Q=Gamma,P312|Ag-Cr,1AgCrP2S6-1,False
AgCrP2Se6,0.0,0.0,P312,0,0,FM,collinear,Q=Gamma,P312|Ag-Cr,1AgCrP2Se6-1,False
AgF6Ge,0.5,-0.5,P-1,28,212,AFM_collinear,collinear,Table2,P-1|Ag,1AgGeF6-1,False
AgMoBr4,0.25,0.5,P2/m,90,184,NC,non_collinear,Q-based,P2/m|Ag-Mo,1AgMoBr4-1,False
AgVP2S6,0.0,0.0,C2,26,59,FM,collinear,Q=Gamma,C2|Ag-V,1AgVP2S6-1,False
AgVP2Se6,0.0,0.0,C2,0,0,DM_SS,non_collinear,Table1,C2|Ag-V,1AgVP2Se6-1,False
Al2MnS4,0.36,0.28,P3m1,74,29,NC,non_collinear,Q-based,P3m1|Mn,1MnAl2S4-2,False
Al2MnTe4,0.5,0.0,P-3m1,88,30,AFM_collinear,collinear,Table2,P-3m1|Mn,1MnAl2Te4-1,False
Al2VS4,0.3333333333333333,0.3333333333333333,P-3m1,2,120,NC,non_collinear,Q-based,P-3m1|V,1VAl2S4-1,False
Al2VSe4,0.3333333333333333,0.3333333333333333,P-3m1,90,242,NC,non_collinear,Q-based,P-3m1|V,1VAl2Se4-1,False
Al2VTe4,0.1666666666666666,0.1666666666666666,P-3m1,90,150,NC,non_collinear,Q-based,P-3m1|V,1VAl2Te4-1,False
AlMnI2S2,0.5,0.0,Pmm2,90,94,AFM_collinear,collinear,Table2,Pmm2|Mn,1AlMnI2S2-1,False
Au2ReF6,0.0,0.0,P1,10,35,DM_SS,non_collinear,Table1,P1|Au-Re,1ReAu2F6-1,False
Au2VI4S,0.0,0.0,P1,58,82,FM,collinear,Q=Gamma,P1|Au-V,1SVAu2I4-1,False
AuSnF6,0.53,-0.42,P-1,32,201,NC,non_collinear,Q-based,P-1|Au,1AuSnF6-1,False
AuVP2Se6,0.0,0.0,C2,56,239,DM_SS,non_collinear,Table1,C2|Au-V,1AuVP2Se6-1,False
Bi2MnS4,0.3333333333333333,0.3333333333333333,P-3m1,90,328,NC,non_collinear,Q-based,P-3m1|Mn,1MnBi2S4-1,False
Bi2MnSe4,0.3333333333333333,0.3333333333333333,P-3m1,90,240,NC,non_collinear,Q-based,P-3m1|Mn,1MnBi2Se4-1,False
Bi2MnTe4,0.3333333333333333,0.3333333333333333,P-3m1,76,265,NC,non_collinear,Q-based,P-3m1|Mn,1MnBi2Te4-1,False
CoBr2,0.02,0.02,P-3m1,86,276,NC,non_collinear,Q-based,P-3m1|Co,1CoBr2-2,False
CoBr2,0.0,0.0,P-4m2,0,0,DM_SS,non_collinear,Table1,P-4m2|Co,1CoBr2-1,False
CoCl2,0.0,0.0,P-3m1,0,0,FM,collinear,Q=Gamma,P-3m1|Co,1CoCl2-2,False
CoCl2,0.0,0.0,P-4m2,20,151,FM,collinear,Q=Gamma,P-4m2|Co,1CoCl2-1,False
CoF2,0.0,0.0,P-4m2,90,270,FM,collinear,Q=Gamma,P-4m2|Co,1CoF2-2,False
CoGa2S4,0.0,0.0,P-3m1,88,90,FM,collinear,Q=Gamma,P-3m1|Co,1CoGa2S4-1,True
CoGa2S4,0.0,0.0,P-3m1,90,276,FM,collinear,Q=Gamma,P-3m1|Co,1CoGa2S4-2,True
CoGa2Se4,0.0,0.0,P-3m1,90,280,FM,collinear,Q=Gamma,P-3m1|Co,1CoGa2Se4-1,True
CoGa2Se4,0.0,0.0,P-3m1,90,90,FM,collinear,Q=Gamma,P-3m1|Co,1CoGa2Se4-2,True
CoI2,0.5,0.0,P-3m1,86,126,AFM_collinear,collinear,Table2,P-3m1|Co,1CoI2-2,False
CoI2,0.08,0.08,P-4m2,90,46,NC,non_collinear,Q-based,P-4m2|Co,1CoI2-1,False
CoO2,0.0,0.0,P-3m1,90,24,FM,collinear,Q=Gamma,P-3m1|Co,1CoO2-1,False
CoZrBr6,0.46,-0.46,C2,28,246,NC,non_collinear,Q-based,C2|Co-Zr,1CoZrBr6-1,False
CrBrI,0.0,0.0,P3m1,84,269,FM,collinear,Q=Gamma,P3m1|Cr,1BrCrI-1,True
CrClI,0.0,0.0,P3m1,74,237,FM,collinear,Q=Gamma,P3m1|Cr,1ClCrI-1,True
CrClTe,0.05,0.05,P3m1,10,151,NC,non_collinear,Q-based,P3m1|Cr,1ClCrTe-1,False
CrCuP2Se6,0.0,0.0,C2,8,58,FM,collinear,Q=Gamma,C2|Cr-Cu,1CrCuP2Se6-1,False
CrF2O,0.0,0.125,Pmmm,90,90,NC,non_collinear,Q-based,Pmmm|Cr,1CrOF2-1,False
CrGa2S4,0.0,0.0,P-3m1,4,277,FM,collinear,Q=Gamma,P-3m1|Cr,1CrGa2S4-1,False
CrGa2Se4,0.0,0.0,P-3m1,0,0,FM,collinear,Q=Gamma,P-3m1|Cr,1CrGa2Se4-1,False
CrGa2Te4,0.0,0.0,P-3m1,0,0,FM,collinear,Q=Gamma,P-3m1|Cr,1CrGa2Te4-1,False
CrHO2,0.0,0.0,P3m1,0,0,FM,collinear,Q=Gamma,P3m1|Cr,1CrHO2-1,False
CrI2,0.0,0.0,P-3m1,90,240,FM,collinear,Q=Gamma,P-3m1|Cr,1CrI2-1,False
CrI2,0.0,0.0,P-4m2,90,180,FM,collinear,Q=Gamma,P-4m2|Cr,1CrI2-2,False
CrISe,0.0,0.0,P3m1,90,282,DM_SS,non_collinear,Table1,P3m1|Cr,1CrISe-1,False
CrIn2Te4,0.0,0.0,P-3m1,0,0,FM,collinear,Q=Gamma,P-3m1|Cr,1CrIn2Te4-1,False
CrO2,0.0,0.0,P-3m1,74,208,FM,collinear,Q=Gamma,P-3m1|Cr,1CrO2-1,False
CrO2,0.0,0.1666666666666666,P-4m2,90,0,NC,non_collinear,Q-based,P-4m2|Cr,1CrO2-3,False
CrS2,0.0,0.0,P-4m2,0,0,FM,collinear,Q=Gamma,P-4m2|Cr,1CrS2-3,False
CrSe2,0.0,0.0,P-4m2,90,44,FM,collinear,Q=Gamma,P-4m2|Cr,1CrSe2-3,False
Cu2ReCl6,0.3333333333333333,0.3333333333333333,P-3,90,34,NC,non_collinear,Q-based,P-3|Cu-Re,1ReCu2Cl6-1,False
Cu2ReF6,0.35,0.35,P-1,70,81,NC,non_collinear,Q-based,P-1|Cu-Re,1ReCu2F6-1,False
Cu2ReI6,0.3333333333333333,0.3333333333333333,P-3,0,0,NC,non_collinear,Q-based,P-3|Cu-Re,1ReCu2I6-1,False
CuLi2O2,0.0,0.5,C2/m,16,274,AFM_collinear,collinear,Table2,C2/m|Cu,1CuLi2O2-1,False
CuVP2S6,0.0,0.0,C2,44,60,FM,collinear,Q=Gamma,C2|Cu-V,1CuVP2S6-1,False
CuVP2Se6,0.0,0.0,C2,6,57,DM_SS,non_collinear,Table1,C2|Cu-V,1CuVP2Se6-1,False
FeBr2,0.0,0.0,P-3m1,90,8,FM,collinear,Q=Gamma,P-3m1|Fe,1FeBr2-1,False
FeBr2,0.5,0.5,P-4m2,0,0,AFM_collinear,collinear,Table2,P-4m2|Fe,1FeBr2-2,False
FeBr2,0.0,0.0,P-6m2,90,180,FM,collinear,Q=Gamma,P-6m2|Fe,1FeBr2-3,False
FeCl2,0.0,0.0,P-3m1,84,56,FM,collinear,Q=Gamma,P-3m1|Fe,1FeCl2-1,False
FeCl2,0.5,0.5,P-4m2,0,0,AFM_collinear,collinear,Table2,P-4m2|Fe,1FeCl2-2,False
FeCl2,0.0,0.0,P-6m2,0,0,FM,collinear,Q=Gamma,P-6m2|Fe,1FeCl2-3,False
FeI2,0.0,0.0,P-3m1,90,0,FM,collinear,Q=Gamma,P-3m1|Fe,1FeI2-1,False
FeI2,0.5,0.5,P-4m2,0,0,AFM_collinear,collinear,Table2,P-4m2|Fe,1FeI2-2,False
FeI2,0.0,0.0,P-6m2,90,184,FM,collinear,Q=Gamma,P-6m2|Fe,1FeI2-3,False
FeMgBr2O2,-0.35,0.68,Cm,58,266,NC,non_collinear,Q-based,Cm|Fe,1FeMgBr2O2-1,False
FeO2,0.0,0.0,P-3m1,90,270,FM,collinear,Q=Gamma,P-3m1|Fe,1FeO2-1,False
FeO2,0.0,0.0,P-6m2,90,28,FM,collinear,Q=Gamma,P-6m2|Fe,1FeO2-3,False
FeS2,0.0,0.0,P-6m2,90,0,FM,collinear,Q=Gamma,P-6m2|Fe,1FeS2-2,False
FeTe2,0.0,0.0,P-6m2,90,60,FM,collinear,Q=Gamma,P-6m2|Fe,1FeTe2-2,False
Ga2MnS4,0.3333333333333333,0.3333333333333333,P3m1,40,276,NC,non_collinear,Q-based,P3m1|Mn,1MnGa2S4-2,False
Ga2MnSe4,0.5,0.0,P-3m1,88,352,AFM_collinear,collinear,Table2,P-3m1|Mn,1MnGa2Se4-1,False
Ga2NiS4,0.3333333333333333,0.3333333333333333,P-3m1,90,332,NC,non_collinear,Q-based,P-3m1|Ni,1NiGa2S4-1,True
Ga2VS4,0.3333333333333333,0.3333333333333333,P-3m1,88,148,NC,non_collinear,Q-based,P-3m1|V,1VGa2S4-1,False
Ga2VSe4,0.2857142857142857,0.2857142857142857,P-3m1,90,328,NC,non_collinear,Q-based,P-3m1|V,1VGa2Se4-1,False
Ga2VTe4,0.2,0.0,P-3m1,90,212,NC,non_collinear,Q-based,P-3m1|V,1VGa2Te4-1,False
GaMnBr4Cl2,0.51,-0.49,P1,36,289,AFM_collinear,collinear,Table2,P1|Mn,1GaMnCl2Br4-1,False
GaMnBr5Cl,0.51,-0.49,P1,36,173,AFM_collinear,collinear,Table2,P1|Mn,1ClGaMnBr5-1,False
GaMnCl2O2,0.5,0.0,Pm,90,94,AFM_collinear,collinear,Table2,Pm|Mn,1GaMnCl2O2-1,False
HfMnBr6,0.3333333333333333,0.3333333333333333,P312,2,120,NC,non_collinear,Q-based,P312|Hf-Mn,1HfMnBr6-1,False
HfMnCl6,0.3333333333333333,0.3333333333333333,P312,76,311,NC,non_collinear,Q-based,P312|Hf-Mn,1HfMnCl6-1,False
HfMnI6,0.3333333333333333,0.3333333333333333,P312,0,0,NC,non_collinear,Q-based,P312|Hf-Mn,1HfMnI6-1,False
HfNiBr6,0.0,0.0,P312,74,0,DM_SS,non_collinear,Table1,P312|Hf-Ni,1HfNiBr6-1,False
HfNiCl6,0.0,0.0,P312,8,187,FM,collinear,Q=Gamma,P312|Hf-Ni,1HfNiCl6-1,False
HfNiF6,0.3333333333333333,0.3333333333333333,P312,86,94,NC,non_collinear,Q-based,P312|Hf-Ni,1HfNiF6-1,False
HfNiI6,0.0,0.0,P312,90,18,DM_SS,non_collinear,Table1,P312|Hf-Ni,1HfNiI6-1,False
